"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"000021.SZ","旮褪撮","2010-01-04","83.9173","84.3681","84.8189","82.7580","1.3525","1.6292","83.0156"
"000021.SZ","旮褪撮","2010-01-05","84.1105","86.3002","88.2323","83.4020","1.9321","2.2901","84.3681"
"000021.SZ","旮褪撮","2010-01-06","86.3002","85.7205","89.2627","85.7205","-0.5796","-0.6716","86.3002"
"000021.SZ","旮褪撮","2010-01-07","85.9138","86.8154","88.5543","85.0765","1.0949","1.2772","85.7205"
"000021.SZ","旮褪撮","2010-01-08","86.9442","86.6866","87.7170","84.3681","-0.1288","-0.1484","86.8154"
"000021.SZ","旮褪撮","2010-01-11","87.1374","89.8423","89.9712","85.4629","3.1558","3.6404","86.6866"
"000021.SZ","旮褪撮","2010-01-12","89.2627","91.3880","92.0965","88.9407","1.5457","1.7204","89.8423"
"000021.SZ","旮褪撮","2010-01-13","89.0051","90.8084","94.1574","88.7475","-0.5796","-0.6342","91.3880"
"000021.SZ","旮褪撮","2010-01-14","91.2592","94.0930","95.3166","90.2932","3.2846","3.6170","90.8084"
"000021.SZ","旮褪撮","2010-01-15","96.4759","94.9302","98.2148","93.5133","0.8372","0.8898","94.0930"
"000021.SZ","旮褪撮","2010-01-18","94.9302","94.4794","95.6386","92.2897","-0.4508","-0.4749","94.9302"
"000021.SZ","旮褪撮","2010-01-19","93.7709","91.5168","94.3506","91.4524","-2.9625","-3.1357","94.4794"
"000021.SZ","旮褪撮","2010-01-20","92.0321","87.3950","93.5133","86.9442","-4.1218","-4.5039","91.5168"
"000021.SZ","旮褪撮","2010-01-21","87.5238","87.9747","88.3611","85.3341","0.5796","0.6632","87.3950"
"000021.SZ","旮褪撮","2010-01-22","86.6222","83.5952","87.2662","81.0191","-4.3794","-4.9780","87.9747"
"000021.SZ","旮褪撮","2010-01-25","83.0800","83.7241","86.4934","83.0800","0.1288","0.1541","83.5952"
"000021.SZ","旮褪撮","2010-01-26","83.5952","79.2158","84.6901","78.1210","-4.5082","-5.3846","83.7241"
"000021.SZ","旮褪撮","2010-01-27","79.2802","79.9887","82.4360","79.2158","0.7728","0.9756","79.2158"
"000021.SZ","旮褪撮","2010-01-28","79.9887","82.4360","83.2088","79.7955","2.4473","3.0596","79.9887"
"000021.SZ","旮褪撮","2010-01-29","82.1784","83.9817","85.0121","81.3411","1.5457","1.8750","82.4360"
"000021.SZ","旮褪撮","2010-02-01","83.5952","79.8599","83.5952","78.5718","-4.1218","-4.9080","83.9817"
"000021.SZ","旮褪撮","2010-02-02","80.2463","78.5718","81.4699","78.3142","-1.2881","-1.6129","79.8599"
"000021.SZ","旮褪撮","2010-02-03","79.2802","79.4090","79.5378","75.1584","0.8372","1.0656","78.5718"
"000021.SZ","旮褪撮","2010-02-04","79.0226","80.1819","80.8259","77.3481","0.7728","0.9732","79.4090"
"000021.SZ","旮褪撮","2010-02-05","77.2837","78.7650","80.5039","76.0601","-1.4169","-1.7671","80.1819"
"000021.SZ","旮褪撮","2010-02-08","78.1854","79.3446","79.9887","77.9278","0.5796","0.7359","78.7650"
"000021.SZ","旮褪撮","2010-02-09","79.4090","79.7955","80.5683","78.5718","0.4508","0.5682","79.3446"
"000021.SZ","旮褪撮","2010-02-10","80.5039","80.1175","80.6971","79.0870","0.3220","0.4035","79.7955"
"000021.SZ","旮褪撮","2010-02-11","80.3107","80.8259","81.0835","79.7311","0.7084","0.8842","80.1175"
"000021.SZ","旮褪撮","2010-02-12","81.0835","80.8903","81.8564","80.5683","0.0644","0.0797","80.8259"
"000021.SZ","旮褪撮","2010-02-22","80.5039","80.5039","81.7276","80.3751","-0.3864","-0.4777","80.8903"
"000021.SZ","旮褪撮","2010-02-23","80.5039","81.6632","81.6632","78.1210","1.1593","1.4400","80.5039"
"000021.SZ","旮褪撮","2010-02-24","81.2123","83.5952","83.9173","80.2463","1.9321","2.3659","81.6632"
"000021.SZ","旮褪撮","2010-02-25","83.7885","83.7241","84.6257","82.9512","0.1288","0.1541","83.5952"
"000021.SZ","旮褪撮","2010-02-26","83.7241","84.0461","85.5917","82.9512","0.3220","0.3846","83.7241"
"000021.SZ","旮褪撮","2010-03-01","84.0461","84.4325","85.7850","83.7241","0.3864","0.4598","84.0461"
"000021.SZ","旮褪撮","2010-03-02","84.6257","90.1644","91.6456","84.4325","5.7319","6.7887","84.4325"
"000021.SZ","旮褪撮","2010-03-03","89.5847","91.5812","92.9981","88.5543","1.4169","1.5714","90.1644"
"000021.SZ","旮褪撮","2010-03-04","91.4524","87.9103","92.6117","85.3985","-3.6710","-4.0084","91.5812"
"000021.SZ","旮褪撮","2010-03-05","87.9103","88.2323","89.3271","84.3681","0.3220","0.3663","87.9103"
"000021.SZ","旮褪撮","2010-03-08","88.8763","89.5203","90.5508","87.4594","1.2881","1.4599","88.2323"
"000021.SZ","旮褪撮","2010-03-09","89.8423","89.6491","90.4864","88.1679","0.1288","0.1439","89.5203"
"000021.SZ","旮褪撮","2010-03-10","89.0051","86.4934","89.6491","85.3985","-3.1558","-3.5201","89.6491"
"000021.SZ","旮褪撮","2010-03-11","86.4290","85.7205","86.8798","83.8529","-0.7728","-0.8935","86.4934"
"000021.SZ","旮褪撮","2010-03-12","85.9782","85.7850","86.6222","84.3681","0.0644","0.0751","85.7205"
"000021.SZ","旮褪撮","2010-03-15","85.5273","84.4969","85.6561","82.6936","-1.2881","-1.5015","85.7850"
"000021.SZ","旮褪撮","2010-03-16","84.1105","87.3306","88.1035","83.7241","2.8337","3.3537","84.4969"
"000021.SZ","旮褪撮","2010-03-17","86.9442","89.9068","90.4864","86.8154","2.5761","2.9498","87.3306"
"000021.SZ","旮褪撮","2010-03-18","90.4864","88.8763","90.8084","88.5543","-1.0304","-1.1461","89.9068"
"000021.SZ","旮褪撮","2010-03-19","89.5203","91.7100","92.5473","89.1339","2.8337","3.1884","88.8763"
"000021.SZ","旮褪撮","2010-03-22","91.9676","92.4185","92.7405","90.4220","0.7084","0.7725","91.7100"
"000021.SZ","旮褪撮","2010-03-23","92.4185","92.4829","92.9981","91.1304","0.0644","0.0697","92.4185"
"000021.SZ","旮褪撮","2010-03-24","92.4185","93.3201","96.4759","92.0965","0.8372","0.9053","92.4829"
"000021.SZ","旮褪撮","2010-03-25","92.7405","90.9372","93.1913","89.2627","-2.3829","-2.5535","93.3201"
"000021.SZ","旮褪撮","2010-03-26","90.8728","93.0625","93.3201","89.3271","2.1253","2.3371","90.9372"
"000021.SZ","旮褪撮","2010-03-29","93.1269","91.4524","93.8353","91.1304","-1.6101","-1.7301","93.0625"
"000021.SZ","旮褪撮","2010-03-30","90.8084","91.0016","91.9676","90.6796","-0.4508","-0.4930","91.4524"
"000021.SZ","旮褪撮","2010-03-31","91.0016","92.3541","93.7709","90.2932","1.3525","1.4862","91.0016"
