"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","涨跌(元)","涨跌幅(%)","前收盘价(元)"
"600491.SH","龙元建设","2010-01-04","68.8596","67.1914","68.8596","67.1138","-0.8923","-1.3105","68.0837"
"600491.SH","龙元建设","2010-01-05","66.9199","65.4069","67.4630","65.1353","-1.7845","-2.6559","67.1914"
"600491.SH","龙元建设","2010-01-06","65.4457","64.5922","66.1440","64.3594","-0.8147","-1.2456","65.4069"
"600491.SH","龙元建设","2010-01-07","65.3681","65.7560","66.5319","64.7086","1.1638","1.8018","64.5922"
"600491.SH","龙元建设","2010-01-08","65.7172","65.3293","65.9500","63.8163","-0.4267","-0.6490","65.7560"
"600491.SH","龙元建设","2010-01-11","67.1138","65.6009","68.3940","65.2517","0.2716","0.4157","65.3293"
"600491.SH","龙元建设","2010-01-12","65.6784","65.5233","65.9500","64.0491","-0.0776","-0.1183","65.6009"
"600491.SH","龙元建设","2010-01-13","64.0103","63.5836","65.0965","63.2344","-1.9397","-2.9603","65.5233"
"600491.SH","龙元建设","2010-01-14","63.6611","62.7301","64.2043","61.6826","-0.8535","-1.3423","63.5836"
"600491.SH","龙元建设","2010-01-15","62.8077","63.8939","65.0965","62.4973","1.1638","1.8553","62.7301"
"600491.SH","龙元建设","2010-01-18","63.9715","67.6569","68.2776","63.8551","3.7630","5.8895","63.8939"
"600491.SH","龙元建设","2010-01-19","67.6181","66.7647","67.8509","65.9500","-0.8923","-1.3188","67.6569"
"600491.SH","龙元建设","2010-01-20","66.7259","65.6784","68.6656","64.9801","-1.0862","-1.6270","66.7647"
"600491.SH","龙元建设","2010-01-21","65.2905","63.8163","65.8336","63.2344","-1.8621","-2.8352","65.6784"
"600491.SH","龙元建设","2010-01-22","63.6999","61.2559","63.6999","59.1998","-2.5604","-4.0122","63.8163"
"600491.SH","龙元建设","2010-01-25","61.1007","61.2947","61.6826","59.7429","0.0388","0.0633","61.2559"
"600491.SH","龙元建设","2010-01-26","61.1007","57.2989","61.7214","57.0274","-3.9958","-6.5190","61.2947"
"600491.SH","龙元建设","2010-01-27","57.2989","55.0489","58.5403","54.9325","-2.2501","-3.9269","57.2989"
"600491.SH","龙元建设","2010-01-28","55.0489","53.2255","55.0489","52.3333","-1.8233","-3.3122","55.0489"
"600491.SH","龙元建设","2010-01-29","53.1479","53.1867","54.1954","52.7600","-0.0388","-0.0729","53.2255"
"600491.SH","龙元建设","2010-02-01","53.4195","52.0617","53.8074","51.0143","-1.1250","-2.1152","53.1867"
"600491.SH","龙元建设","2010-02-02","52.1781","52.2557","53.3031","51.8677","0.1940","0.3726","52.0617"
"600491.SH","龙元建设","2010-02-03","51.7901","53.3419","53.4971","50.4324","1.0862","2.0787","52.2557"
"600491.SH","龙元建设","2010-02-04","53.4583","52.9540","53.7686","52.4109","-0.3879","-0.7273","53.3419"
"600491.SH","龙元建设","2010-02-05","52.0617","51.5186","52.0617","50.5487","-1.4354","-2.7106","52.9540"
"600491.SH","龙元建设","2010-02-08","51.7514","50.5099","51.7514","50.3548","-1.0086","-1.9578","51.5186"
"600491.SH","龙元建设","2010-02-09","50.8203","51.0919","51.3246","50.4324","0.5819","1.1521","50.5099"
"600491.SH","龙元建设","2010-02-10","51.5574","51.8677","52.0229","50.9755","0.7759","1.5186","51.0919"
"600491.SH","龙元建设","2010-02-11","52.1781","52.8376","53.3807","52.0229","0.9699","1.8699","51.8677"
"600491.SH","龙元建设","2010-02-12","52.8376","53.3419","53.5359","52.4884","0.5043","0.9545","52.8376"
"600491.SH","龙元建设","2010-02-22","53.3419","52.6048","53.8462","52.5660","-0.7371","-1.3818","53.3419"
"600491.SH","龙元建设","2010-02-23","52.6048","52.1005","53.0704","51.6350","-0.5043","-0.9587","52.6048"
"600491.SH","龙元建设","2010-02-25","57.2989","58.8895","61.4111","56.2515","1.5906","2.7759","57.2989"
"600491.SH","龙元建设","2010-02-26","58.7731","58.5403","59.2774","57.8420","-0.3491","-0.5929","58.8895"
"600491.SH","龙元建设","2010-03-01","57.8808","58.9671","60.0921","57.8808","0.4267","0.7290","58.5403"
"600491.SH","龙元建设","2010-03-02","58.9671","58.9671","58.9671","58.9671","","","58.9671"
"600491.SH","龙元建设","2010-03-03","58.9671","59.0446","59.3162","58.2688","0.0776","0.1316","58.9671"
"600491.SH","龙元建设","2010-03-04","59.2774","59.3938","60.8292","59.0446","0.3491","0.5913","59.0446"
"600491.SH","龙元建设","2010-03-05","59.7817","58.1136","60.0533","57.4153","-1.2802","-2.1555","59.3938"
"600491.SH","龙元建设","2010-03-08","58.1136","56.6006","58.5015","55.5144","-1.5130","-2.6035","58.1136"
"600491.SH","龙元建设","2010-03-09","55.8635","56.5618","57.2213","55.0101","-0.0388","-0.0685","56.6006"
"600491.SH","龙元建设","2010-03-10","56.2127","56.6006","56.9498","54.8937","0.0388","0.0686","56.5618"
"600491.SH","龙元建设","2010-03-11","56.1739","55.3204","56.4066","55.0489","-1.2802","-2.2618","56.6006"
"600491.SH","龙元建设","2010-03-12","55.8635","53.8074","55.8635","53.2255","-1.5130","-2.7349","55.3204"
"600491.SH","龙元建设","2010-03-15","53.1091","53.4195","53.7299","51.9841","-0.3879","-0.7210","53.8074"
"600491.SH","龙元建设","2010-03-16","53.5359","53.7299","54.2342","52.9540","0.3104","0.5810","53.4195"
"600491.SH","龙元建设","2010-03-17","54.0790","56.0963","56.3679","53.6135","2.3664","4.4043","53.7299"
"600491.SH","龙元建设","2010-03-18","56.2127","56.2903","56.9886","56.0575","0.1940","0.3458","56.0963"
"600491.SH","龙元建设","2010-03-19","56.2903","56.6394","56.7558","55.8247","0.3491","0.6203","56.2903"
"600491.SH","龙元建设","2010-03-22","56.7558","59.2774","59.7041","56.7558","2.6380","4.6575","56.6394"
"600491.SH","龙元建设","2010-03-23","59.3550","60.0145","61.2171","59.3550","0.7371","1.2435","59.2774"
"600491.SH","龙元建设","2010-03-24","60.3249","60.1309","60.8292","59.3938","0.1164","0.1939","60.0145"
"600491.SH","龙元建设","2010-03-25","60.2473","61.2947","61.4887","59.9757","1.1638","1.9355","60.1309"
"600491.SH","龙元建设","2010-03-26","61.6826","64.2819","65.0189","60.9456","2.9871","4.8734","61.2947"
"600491.SH","龙元建设","2010-03-29","65.0965","62.4585","65.0965","61.3335","-1.8233","-2.8364","64.2819"
"600491.SH","龙元建设","2010-03-30","61.9542","63.0404","63.5448","61.6439","0.5819","0.9317","62.4585"
"600491.SH","龙元建设","2010-03-31","63.1956","63.6999","64.2431","62.4973","0.6595","1.0462","63.0404"
"600491.SH","龙元建设","2010-04-01","64.1267","65.9112","66.3379","63.8163","2.2113","3.4714","63.6999"
"600491.SH","龙元建设","2010-04-02","66.0664","64.8250","67.1138","64.2043","-1.0862","-1.6480","65.9112"
"600491.SH","龙元建设","2010-04-06","64.9414","61.0619","65.9112","60.7128","-3.7630","-5.8049","64.8250"
"600491.SH","龙元建设","2010-04-07","60.7128","61.6826","61.7990","59.5102","0.6207","1.0165","61.0619"
"600491.SH","龙元建设","2010-04-08","59.3550","60.5188","60.7128","58.5791","-1.1638","-1.8868","61.6826"
"600491.SH","龙元建设","2010-04-09","59.7429","59.5490","60.7128","58.8895","-0.9699","-1.6026","60.5188"
"600491.SH","龙元建设","2010-04-12","59.6654","57.5705","60.0145","57.4153","-1.9785","-3.3225","59.5490"
"600491.SH","龙元建设","2010-04-13","57.3765","59.1222","59.1610","55.7084","1.5518","2.6954","57.5705"
"600491.SH","龙元建设","2010-04-14","58.1912","59.0059","59.7429","57.7256","-0.1164","-0.1968","59.1222"
"600491.SH","龙元建设","2010-04-15","59.1610","57.8420","59.6654","57.3377","-1.1638","-1.9724","59.0059"
"600491.SH","龙元建设","2010-04-16","57.8420","56.6782","57.8420","56.2515","-1.1638","-2.0121","57.8420"
"600491.SH","龙元建设","2010-04-19","56.0575","51.6350","56.0575","51.5962","-5.0432","-8.8980","56.6782"
"600491.SH","龙元建设","2010-04-20","51.5574","50.1608","51.5574","47.7168","-1.4742","-2.8550","51.6350"
"600491.SH","龙元建设","2010-04-21","50.0056","51.4410","52.3721","48.7642","1.2802","2.5522","50.1608"
"600491.SH","龙元建设","2010-04-22","50.6263","50.8203","52.2945","49.2685","-0.6207","-1.2066","51.4410"
"600491.SH","龙元建设","2010-04-23","50.2772","49.5401","51.2858","49.4625","-1.2802","-2.5191","50.8203"
"600491.SH","龙元建设","2010-04-26","49.6565","47.8719","49.7341","47.4452","-1.6681","-3.3673","49.5401"
"600491.SH","龙元建设","2010-04-27","47.2900","45.8546","48.4539","45.0788","-2.0173","-4.2139","47.8719"
"600491.SH","龙元建设","2010-04-28","45.8546","45.8546","45.8546","45.8546","","","45.8546"
"600491.SH","龙元建设","2010-04-29","45.6995","45.3503","46.5529","45.0012","-0.5043","-1.0998","45.8546"
"600491.SH","龙元建设","2010-04-30","45.6995","44.9236","45.6995","43.7598","-0.4267","-0.9410","45.3503"
"600491.SH","龙元建设","2010-05-04","44.1865","44.2253","45.2727","43.8761","-0.6983","-1.5544","44.9236"
"600491.SH","龙元建设","2010-05-05","44.2253","44.3029","44.5744","42.0140","0.0776","0.1754","44.2253"
"600491.SH","龙元建设","2010-05-06","43.6434","42.2856","44.4581","42.2080","-2.0173","-4.5534","44.3029"
"600491.SH","龙元建设","2010-05-07","41.6261","40.6950","42.4796","40.4235","-1.5906","-3.7615","42.2856"
"600491.SH","龙元建设","2010-05-10","41.0442","41.4709","41.8976","40.1131","0.7759","1.9066","40.6950"
"600491.SH","龙元建设","2010-05-11","42.2080","40.1907","43.1003","39.5312","-1.2802","-3.0870","41.4709"
"600491.SH","龙元建设","2010-05-12","40.1131","40.5011","41.3157","39.5700","0.3104","0.7722","40.1907"
"600491.SH","龙元建设","2010-05-13","40.7338","41.5485","41.7813","39.9579","1.0474","2.5862","40.5011"
"600491.SH","龙元建设","2010-05-14","41.5097","42.5959","42.9839","41.0442","1.0474","2.5210","41.5485"
"600491.SH","龙元建设","2010-05-17","41.5485","38.7553","42.2080","38.4062","-3.8406","-9.0164","42.5959"
"600491.SH","龙元建设","2010-05-18","38.7165","40.2683","40.9278","37.6303","1.5130","3.9039","38.7553"
"600491.SH","龙元建设","2010-05-19","39.8416","39.4924","40.4623","38.7165","-0.7759","-1.9268","40.2683"
"600491.SH","龙元建设","2010-05-21","38.2052","41.5578","41.6358","38.0102","1.9103","4.8181","39.6476"
