"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"601138.SH","馱珛蜓薊","2018-06-08","16.5200","19.8300","19.8300","16.5200","6.0600","44.0087","13.7700"
"601138.SH","馱珛蜓薊","2018-06-11","21.8100","21.8100","21.8100","21.8100","1.9800","9.9849","19.8300"
"601138.SH","馱珛蜓薊","2018-06-12","23.9900","23.9900","23.9900","23.9900","2.1800","9.9954","21.8100"
"601138.SH","馱珛蜓薊","2018-06-13","24.5500","25.7200","26.3600","23.5600","1.7300","7.2113","23.9900"
"601138.SH","馱珛蜓薊","2018-06-14","24.5100","23.2900","24.8600","23.1500","-2.4300","-9.4479","25.7200"
"601138.SH","馱珛蜓薊","2018-06-15","22.6000","22.5800","23.1300","22.0200","-0.7100","-3.0485","23.2900"
"601138.SH","馱珛蜓薊","2018-06-19","21.8300","20.3200","21.8400","20.3200","-2.2600","-10.0089","22.5800"
"601138.SH","馱珛蜓薊","2018-06-20","19.8000","19.8600","20.2600","19.0100","-0.4600","-2.2638","20.3200"
"601138.SH","馱珛蜓薊","2018-06-21","19.6000","18.1700","19.7800","18.0500","-1.6900","-8.5096","19.8600"
"601138.SH","馱珛蜓薊","2018-06-22","17.7000","18.7200","19.1800","17.5300","0.5500","3.0270","18.1700"
"601138.SH","馱珛蜓薊","2018-06-25","18.6200","18.2100","18.7600","18.1300","-0.5100","-2.7244","18.7200"
"601138.SH","馱珛蜓薊","2018-06-26","17.7400","18.5300","18.6600","17.5500","0.3200","1.7573","18.2100"
"601138.SH","馱珛蜓薊","2018-06-27","18.5000","18.2700","18.8600","18.1800","-0.2600","-1.4031","18.5300"
"601138.SH","馱珛蜓薊","2018-06-28","18.2200","17.8900","18.6400","17.7600","-0.3800","-2.0799","18.2700"
"601138.SH","馱珛蜓薊","2018-06-29","17.9500","18.4400","18.6100","17.6000","0.5500","3.0743","17.8900"
