"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","涨跌(元)","涨跌幅(%)","前收盘价(元)"
"000021.SZ","深科技","2010-01-05","13.0600","13.4000","13.7000","12.9500","0.3000","2.2901","13.1000"
"000021.SZ","深科技","2010-01-07","13.3400","13.4800","13.7500","13.2100","0.1700","1.2772","13.3100"
"000021.SZ","深科技","2010-01-11","13.5300","13.9500","13.9700","13.2700","0.4900","3.6404","13.4600"
"000021.SZ","深科技","2010-01-12","13.8600","14.1900","14.3000","13.8100","0.2400","1.7204","13.9500"
"000021.SZ","深科技","2010-01-15","14.9800","14.7400","15.2500","14.5200","0.1300","0.8898","14.6100"
"000021.SZ","深科技","2010-01-18","14.7400","14.6700","14.8500","14.3300","-0.0700","-0.4749","14.7400"
"000021.SZ","深科技","2010-01-19","14.5600","14.2100","14.6500","14.2000","-0.4600","-3.1357","14.6700"
"000021.SZ","深科技","2010-01-20","14.2900","13.5700","14.5200","13.5000","-0.6400","-4.5039","14.2100"
"000021.SZ","深科技","2010-01-21","13.5900","13.6600","13.7200","13.2500","0.0900","0.6632","13.5700"
"000021.SZ","深科技","2010-01-26","12.9800","12.3000","13.1500","12.1300","-0.7000","-5.3846","13.0000"
"000021.SZ","深科技","2010-01-28","12.4200","12.8000","12.9200","12.3900","0.3800","3.0596","12.4200"
"000021.SZ","深科技","2010-02-01","12.9800","12.4000","12.9800","12.2000","-0.6400","-4.9080","13.0400"
"000021.SZ","深科技","2010-02-02","12.4600","12.2000","12.6500","12.1600","-0.2000","-1.6129","12.4000"
"000021.SZ","深科技","2010-02-05","12.0000","12.2300","12.5000","11.8100","-0.2200","-1.7671","12.4500"
"000021.SZ","深科技","2010-02-08","12.1400","12.3200","12.4200","12.1000","0.0900","0.7359","12.2300"
"000021.SZ","深科技","2010-02-09","12.3300","12.3900","12.5100","12.2000","0.0700","0.5682","12.3200"
"000021.SZ","深科技","2010-02-10","12.5000","12.4400","12.5300","12.2800","0.0500","0.4035","12.3900"
"000021.SZ","深科技","2010-02-11","12.4700","12.5500","12.5900","12.3800","0.1100","0.8842","12.4400"
"000021.SZ","深科技","2010-02-12","12.5900","12.5600","12.7100","12.5100","0.0100","0.0797","12.5500"
"000021.SZ","深科技","2010-01-04","13.0300","13.1000","13.1700","12.8500","0.2100","1.6292","12.8900"
"000021.SZ","深科技","2010-01-25","12.9000","13.0000","13.4300","12.9000","0.0200","0.1541","12.9800"
"000021.SZ","深科技","2010-01-06","13.4000","13.3100","13.8600","13.3100","-0.0900","-0.6716","13.4000"
"000021.SZ","深科技","2010-01-22","13.4500","12.9800","13.5500","12.5800","-0.6800","-4.9780","13.6600"
"000021.SZ","深科技","2010-01-27","12.3100","12.4200","12.8000","12.3000","0.1200","0.9756","12.3000"
"000021.SZ","深科技","2010-01-08","13.5000","13.4600","13.6200","13.1000","-0.0200","-0.1484","13.4800"
