"´úÂë","¼ò³Æ","Ê±¼ä","¿ªÅÌ¼Û(Ôª)","ÊÕÅÌ¼Û(Ôª)","×î¸ß¼Û(Ôª)","×îµÍ¼Û(Ôª)","ÕÇµø(Ôª)","ÕÇµø·ù(%)","Ç°ÊÕÅÌ¼Û(Ôª)"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-04","20.8000","20.6400","21.1000","20.4000","-0.0300","-0.1451","20.6700"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-07","20.2800","19.7200","20.3500","19.4500","-0.5600","-2.7613","20.2800"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-11","19.9500","19.8700","20.1700","19.6000","-0.0300","-0.1507","19.9000"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-13","20.3300","20.9200","21.3000","20.2100","0.2100","1.0140","20.7100"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-20","21.8500","20.9200","21.8500","20.8600","-0.7800","-3.5945","21.7000"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-21","20.8000","20.9400","21.1600","20.7200","0.0200","0.0956","20.9200"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-22","20.7900","20.5000","20.7900","19.8200","-0.4400","-2.1012","20.9400"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-25","20.4500","20.4600","20.7800","20.2000","-0.0400","-0.1951","20.5000"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-28","19.0400","19.4300","19.4300","18.7700","0.3600","1.8878","19.0700"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-01","19.3000","19.2400","19.6300","19.1800","-0.3400","-1.7365","19.5800"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-03","18.6100","19.0800","19.0800","18.2800","0.3800","2.0321","18.7000"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-10","18.3700","18.9700","19.0700","18.3600","0.6200","3.3787","18.3500"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-11","18.9700","19.2600","19.3500","18.9100","0.2900","1.5287","18.9700"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-12","19.2500","19.3700","19.4900","19.1800","0.1100","0.5711","19.2600"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-22","19.2000","19.1600","19.4600","19.1000","-0.2100","-1.0842","19.3700"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-24","19.4000","19.6200","19.6400","19.3100","0.1200","0.6154","19.5000"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-05","20.7800","20.4000","20.7800","20.1500","-0.2400","-1.1628","20.6400"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-26","20.5000","19.7100","20.5800","19.4800","-0.7500","-3.6657","20.4600"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-23","19.1400","19.5000","19.6300","18.7000","0.3400","1.7745","19.1600"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-06","20.3800","20.2800","20.9700","20.2700","-0.1200","-0.5882","20.4000"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-27","19.7500","19.0700","19.8700","18.9000","-0.6400","-3.2471","19.7100"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-08","19.5200","19.9000","19.9500","19.5000","0.1800","0.9128","19.7200"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-29","19.2000","19.5800","19.8500","19.0700","0.1500","0.7720","19.4300"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-12","20.0000","20.7100","20.7500","19.8300","0.8400","4.2275","19.8700"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-02","19.4400","18.7000","19.4900","18.5800","-0.5400","-2.8066","19.2400"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-01-14","20.9400","21.5300","21.8700","20.7500","0.6100","2.9159","20.9200"
"002078.SZ","Ì«ÑôÖ½Òµ","2010-02-04","19.0700","19.0700","19.2500","18.9000","-0.0100","-0.0524","19.0800"
