"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"002236.SZ","湮貌嘖爺","2010-01-06","74.1000","74.6000","75.2700","73.0200","-0.0300","-0.0402","74.6300"
"002236.SZ","湮貌嘖爺","2010-01-08","71.8800","72.7000","72.8800","71.1200","0.5400","0.7483","72.1600"
"002236.SZ","湮貌嘖爺","2010-01-11","72.3200","74.1800","74.3000","70.5000","1.4800","2.0358","72.7000"
"002236.SZ","湮貌嘖爺","2010-01-15","75.4900","73.7000","76.4900","72.9000","-1.7900","-2.3712","75.4900"
"002236.SZ","湮貌嘖爺","2010-01-18","73.5800","73.2900","73.5800","72.1000","-0.4100","-0.5563","73.7000"
"002236.SZ","湮貌嘖爺","2010-01-20","75.5000","71.9900","75.6100","69.0200","-3.5000","-4.6364","75.4900"
"002236.SZ","湮貌嘖爺","2010-01-21","72.0000","72.4500","73.0000","70.5900","0.4600","0.6390","71.9900"
"002236.SZ","湮貌嘖爺","2010-01-22","71.4300","70.6700","71.4300","68.3000","-1.7800","-2.4569","72.4500"
"002236.SZ","湮貌嘖爺","2010-01-27","68.3300","68.0000","68.8900","67.5000","-0.4400","-0.6429","68.4400"
"002236.SZ","湮貌嘖爺","2010-02-01","69.0000","68.0000","69.0000","67.1000","-1.9000","-2.7182","69.9000"
"002236.SZ","湮貌嘖爺","2010-02-05","66.3000","67.5500","68.6500","66.3000","-0.4300","-0.6325","67.9800"
"002236.SZ","湮貌嘖爺","2010-02-08","67.5500","67.6800","67.8500","66.7100","0.1300","0.1924","67.5500"
"002236.SZ","湮貌嘖爺","2010-02-10","68.8200","70.4100","71.1800","68.1100","2.6100","3.8496","67.8000"
"002236.SZ","湮貌嘖爺","2010-02-11","70.4200","69.8000","70.4500","68.8500","-0.6100","-0.8664","70.4100"
"002236.SZ","湮貌嘖爺","2010-02-12","69.9000","72.2000","72.3100","69.9000","2.4000","3.4384","69.8000"
"002236.SZ","湮貌嘖爺","2010-02-24","69.9900","73.6500","75.3000","69.9900","3.6100","5.1542","70.0400"
"002236.SZ","湮貌嘖爺","2010-03-01","77.4900","77.2300","78.3900","76.0100","-0.2700","-0.3484","77.5000"
"002236.SZ","湮貌嘖爺","2010-03-02","77.7000","78.3100","79.0000","76.5000","1.0800","1.3984","77.2300"
"002236.SZ","湮貌嘖爺","2010-01-04","72.4200","76.7900","76.9000","72.0200","4.4100","6.0928","72.3800"
"002236.SZ","湮貌嘖爺","2010-01-25","69.1200","69.0800","69.9800","68.0500","-1.5900","-2.2499","70.6700"
"002236.SZ","湮貌嘖爺","2010-02-22","70.2300","71.1300","72.0000","70.2300","-1.0700","-1.4820","72.2000"
"002236.SZ","湮貌嘖爺","2010-01-05","76.0000","74.6300","76.0000","74.0800","-2.1600","-2.8129","76.7900"
"002236.SZ","湮貌嘖爺","2010-01-26","69.0800","68.4400","69.7000","66.2800","-0.6400","-0.9265","69.0800"
"002236.SZ","湮貌嘖爺","2010-02-23","70.9000","70.0400","70.9000","69.1100","-1.0900","-1.5324","71.1300"
"002236.SZ","湮貌嘖爺","2010-01-07","74.4000","72.1600","74.7500","71.9500","-2.4400","-3.2708","74.6000"
"002236.SZ","湮貌嘖爺","2010-01-28","68.0000","68.3800","68.5900","66.8000","0.3800","0.5588","68.0000"
"002236.SZ","湮貌嘖爺","2010-02-25","74.7500","77.0000","77.4000","74.0000","3.3500","4.5485","73.6500"
"002236.SZ","湮貌嘖爺","2010-01-12","73.9800","76.0300","78.0900","73.7000","1.8500","2.4939","74.1800"
"002236.SZ","湮貌嘖爺","2010-02-02","68.2000","67.5000","69.3800","66.7300","-0.5000","-0.7353","68.0000"
"002236.SZ","湮貌嘖爺","2010-01-13","74.1000","74.6300","76.9500","74.0000","-1.4000","-1.8414","76.0300"
"002236.SZ","湮貌嘖爺","2010-02-03","67.4800","67.3000","67.9500","65.5500","-0.2000","-0.2963","67.5000"
"002236.SZ","湮貌嘖爺","2010-01-14","75.7000","75.4900","76.1200","74.3000","0.8600","1.1524","74.6300"
"002236.SZ","湮貌嘖爺","2010-02-04","67.0100","67.9800","68.7900","67.0100","0.6800","1.0104","67.3000"
"002236.SZ","湮貌嘖爺","2010-01-19","73.5000","75.4900","75.7500","72.7200","2.2000","3.0018","73.2900"
"002236.SZ","湮貌嘖爺","2010-02-09","66.7100","67.8000","68.4500","66.7100","0.1200","0.1773","67.6800"
"002236.SZ","湮貌嘖爺","2010-01-29","68.0000","69.9000","70.5600","67.3200","1.5200","2.2229","68.3800"
"002236.SZ","湮貌嘖爺","2010-02-26","77.0000","77.5000","78.8000","76.2800","0.5000","0.6494","77.0000"
"002236.SZ","湮貌嘖爺","2010-03-03","78.8500","77.6000","78.8500","76.7500","-0.7100","-0.9067","78.3100"
"002236.SZ","湮貌嘖爺","2010-03-04","77.4000","75.5400","77.8000","75.2200","-2.0600","-2.6546","77.6000"
"002236.SZ","湮貌嘖爺","2010-03-05","76.2900","77.7000","77.7900","75.2300","2.1600","2.8594","75.5400"
"002236.SZ","湮貌嘖爺","2010-03-08","77.8900","77.1000","77.8900","76.6000","-0.6000","-0.7722","77.7000"
"002236.SZ","湮貌嘖爺","2010-03-09","77.1000","78.2000","79.0000","76.7600","1.1000","1.4267","77.1000"
"002236.SZ","湮貌嘖爺","2010-03-10","77.9800","78.5600","79.3600","77.7000","0.3600","0.4604","78.2000"
"002236.SZ","湮貌嘖爺","2010-03-11","78.7500","77.4000","78.7500","75.0000","-1.1600","-1.4766","78.5600"
"002236.SZ","湮貌嘖爺","2010-03-12","76.6700","77.3900","78.3800","75.8100","-0.0100","-0.0129","77.4000"
"002236.SZ","湮貌嘖爺","2010-03-15","77.5000","77.4000","77.6700","76.8300","0.0100","0.0129","77.3900"
"002236.SZ","湮貌嘖爺","2010-03-16","77.6000","76.8800","79.3000","75.8700","-0.5200","-0.6718","77.4000"
"002236.SZ","湮貌嘖爺","2010-03-17","77.0100","82.9800","84.5700","77.0100","6.1000","7.9345","76.8800"
"002236.SZ","湮貌嘖爺","2010-03-18","82.0800","78.7600","82.1000","78.6500","-4.2200","-5.0856","82.9800"
"002236.SZ","湮貌嘖爺","2010-03-19","78.5000","78.1500","79.5000","77.0000","-0.6100","-0.7745","78.7600"
"002236.SZ","湮貌嘖爺","2010-03-22","77.5000","78.6100","78.7800","77.0100","0.4600","0.5886","78.1500"
"002236.SZ","湮貌嘖爺","2010-03-23","78.6800","79.7800","80.2000","78.5000","1.1700","1.4884","78.6100"
"002236.SZ","湮貌嘖爺","2010-03-24","79.9000","83.1300","84.4000","79.8200","3.3500","4.1990","79.7800"
"002236.SZ","湮貌嘖爺","2010-03-25","83.5900","84.0700","84.4400","82.3000","0.9400","1.1308","83.1300"
"002236.SZ","湮貌嘖爺","2010-03-26","83.0000","83.1700","84.0000","81.0800","-0.9000","-1.0705","84.0700"
"002236.SZ","湮貌嘖爺","2010-03-29","83.2500","81.7200","83.8800","79.9000","-1.4500","-1.7434","83.1700"
"002236.SZ","湮貌嘖爺","2010-03-30","81.5200","82.4100","83.5000","81.5200","0.6900","0.8443","81.7200"
"002236.SZ","湮貌嘖爺","2010-03-31","82.0300","85.0000","85.2000","81.3100","2.5900","3.1428","82.4100"
"002236.SZ","湮貌嘖爺","2010-04-01","85.3800","87.3000","90.7000","85.3800","2.3000","2.7059","85.0000"
"002236.SZ","湮貌嘖爺","2010-04-02","86.3800","86.4600","88.3900","86.1100","-0.8400","-0.9622","87.3000"
"002236.SZ","湮貌嘖爺","2010-04-06","86.8000","89.6800","90.5800","86.2800","3.2200","3.7243","86.4600"
"002236.SZ","湮貌嘖爺","2010-04-07","90.2700","89.9800","90.3000","88.3800","0.3000","0.3345","89.6800"
"002236.SZ","湮貌嘖爺","2010-04-08","88.6800","88.5800","91.7900","88.5800","-1.4000","-1.5559","89.9800"
"002236.SZ","湮貌嘖爺","2010-04-09","87.9800","91.0600","91.1800","87.0300","2.4800","2.7997","88.5800"
"002236.SZ","湮貌嘖爺","2010-04-12","91.6300","92.5800","93.6200","90.6600","1.5200","1.6692","91.0600"
"002236.SZ","湮貌嘖爺","2010-04-13","92.8000","85.8000","92.8000","84.0200","-6.7800","-7.3234","92.5800"
"002236.SZ","湮貌嘖爺","2010-04-14","85.4900","86.5300","88.3800","85.4000","0.7300","0.8508","85.8000"
"002236.SZ","湮貌嘖爺","2010-04-15","85.8800","81.7500","87.4100","81.5200","-4.7800","-5.5241","86.5300"
"002236.SZ","湮貌嘖爺","2010-04-16","81.7500","83.3100","84.3000","81.2800","1.5600","1.9083","81.7500"
"002236.SZ","湮貌嘖爺","2010-04-19","82.7000","83.3200","85.3000","82.2000","0.0100","0.0120","83.3100"
"002236.SZ","湮貌嘖爺","2010-04-20","83.3300","84.4900","84.7900","79.5000","1.1700","1.4042","83.3200"
"002236.SZ","湮貌嘖爺","2010-04-21","83.7900","87.2000","87.3600","83.7900","2.7100","3.2075","84.4900"
"002236.SZ","湮貌嘖爺","2010-04-22","87.2000","87.2000","87.2000","87.2000","","","87.2000"
"002236.SZ","湮貌嘖爺","2010-04-23","88.4900","86.0000","90.9900","85.8800","-1.2000","-1.3761","87.2000"
"002236.SZ","湮貌嘖爺","2010-04-26","85.3900","84.0000","85.7700","82.8000","-2.0000","-2.3256","86.0000"
"002236.SZ","湮貌嘖爺","2010-04-27","83.9600","82.5000","83.9600","80.2900","-1.5000","-1.7857","84.0000"
"002236.SZ","湮貌嘖爺","2010-04-28","82.1300","82.3000","82.5700","80.0200","-0.2000","-0.2424","82.5000"
