"測鎢","潠備","奀潔","羲攫歎(啋)","彶攫歎(啋)","郔詢歎(啋)","郔腴歎(啋)","梀視(啋)","梀視盟(%)","彶攫歎(啋)"
"600390.SH","拻鄴訧掛","2010-01-04","13.6600","13.6600","13.7800","13.5000","0.1000","0.7375","13.5600"
"600390.SH","拻鄴訧掛","2010-01-05","13.7000","13.8700","13.8900","13.4000","0.2100","1.5373","13.6600"
"600390.SH","拻鄴訧掛","2010-01-07","13.9900","14.4400","15.0100","13.9600","0.6400","4.6377","13.8000"
"600390.SH","拻鄴訧掛","2010-01-08","14.3100","14.3800","14.5400","13.8000","-0.0600","-0.4155","14.4400"
"600390.SH","拻鄴訧掛","2010-01-12","14.7500","15.3100","15.4400","14.6100","0.5600","3.7966","14.7500"
"600390.SH","拻鄴訧掛","2010-01-20","14.7600","14.3000","15.0000","14.1900","-0.4900","-3.3130","14.7900"
"600390.SH","拻鄴訧掛","2010-01-22","13.9000","13.5500","13.9000","13.2000","-0.5800","-4.1047","14.1300"
"600390.SH","拻鄴訧掛","2010-01-25","13.0000","12.9900","13.2900","12.7900","-0.5600","-4.1328","13.5500"
"600390.SH","拻鄴訧掛","2010-01-26","12.9100","12.7700","13.0700","12.6600","-0.2200","-1.6936","12.9900"
"600390.SH","拻鄴訧掛","2010-01-28","12.7100","12.8900","12.8900","12.6200","0.1800","1.4162","12.7100"
"600390.SH","拻鄴訧掛","2010-01-29","12.7600","12.8600","13.0000","12.7600","-0.0300","-0.2327","12.8900"
"600390.SH","拻鄴訧掛","2010-02-02","12.2700","12.1100","12.4500","12.1000","0.0200","0.1654","12.0900"
"600390.SH","拻鄴訧掛","2010-02-10","11.8500","12.0100","12.1000","11.8500","0.2700","2.2998","11.7400"
"600390.SH","拻鄴訧掛","2010-02-12","12.0800","12.2100","12.3300","12.0800","0.1900","1.5807","12.0200"
"600390.SH","拻鄴訧掛","2010-02-22","12.2100","12.2100","12.4000","12.1800","0.0000","0.0000","12.2100"
"600390.SH","拻鄴訧掛","2010-02-23","12.1400","12.4700","12.7700","11.9000","0.2600","2.1294","12.2100"
"600390.SH","拻鄴訧掛","2010-02-25","12.5700","12.7500","12.7600","12.4100","0.1600","1.2708","12.5900"
"600390.SH","拻鄴訧掛","2010-02-26","12.6600","12.6900","12.7900","12.6000","-0.0600","-0.4706","12.7500"
"600390.SH","拻鄴訧掛","2010-03-01","12.7900","12.9500","13.1300","12.7600","0.2600","2.0489","12.6900"
"600390.SH","拻鄴訧掛","2010-01-06","13.8000","13.8000","14.1100","13.7300","-0.0700","-0.5047","13.8700"
"600390.SH","拻鄴訧掛","2010-01-27","12.8100","12.7100","12.9800","12.6800","-0.0600","-0.4699","12.7700"
"600390.SH","拻鄴訧掛","2010-02-24","12.4200","12.5900","12.6000","12.2200","0.1200","0.9623","12.4700"
"600390.SH","拻鄴訧掛","2010-01-11","14.3800","14.7500","14.8000","14.1500","0.3700","2.5730","14.3800"
"600390.SH","拻鄴訧掛","2010-02-01","12.9000","12.0900","12.9500","11.9900","-0.7700","-5.9876","12.8600"
"600390.SH","拻鄴訧掛","2010-01-13","14.9800","14.6600","15.1500","14.3500","-0.6500","-4.2456","15.3100"
"600390.SH","拻鄴訧掛","2010-02-03","12.1000","12.3000","12.4000","11.5300","0.1900","1.5690","12.1100"
"600390.SH","拻鄴訧掛","2010-01-14","14.7000","14.9200","15.0000","14.5100","0.2600","1.7735","14.6600"
"600390.SH","拻鄴訧掛","2010-02-04","12.2300","12.2700","12.4800","12.0000","-0.0300","-0.2439","12.3000"
"600390.SH","拻鄴訧掛","2010-01-15","14.9200","14.8800","15.1400","14.7600","-0.0400","-0.2681","14.9200"
"600390.SH","拻鄴訧掛","2010-02-05","12.0000","11.8000","12.0200","11.6300","-0.4700","-3.8305","12.2700"
"600390.SH","拻鄴訧掛","2010-01-18","14.8100","15.0900","15.1000","14.6400","0.2100","1.4113","14.8800"
"600390.SH","拻鄴訧掛","2010-02-08","11.7500","11.7400","11.8900","11.7200","-0.0600","-0.5085","11.8000"
"600390.SH","拻鄴訧掛","2010-01-19","15.0900","14.7900","15.1900","14.7500","-0.3000","-1.9881","15.0900"
"600390.SH","拻鄴訧掛","2010-02-09","11.7400","11.7400","11.7400","11.7400","","","11.7400"
"600390.SH","拻鄴訧掛","2010-01-21","14.3200","14.1300","14.5200","13.9900","-0.1700","-1.1888","14.3000"
"600390.SH","拻鄴訧掛","2010-02-11","11.9700","12.0200","12.1000","11.9200","0.0100","0.0833","12.0100"
"600390.SH","拻鄴訧掛","2010-03-02","12.9500","13.0900","13.2100","12.9200","0.1400","1.0811","12.9500"
"600390.SH","拻鄴訧掛","2010-03-03","13.1000","13.4900","13.5700","13.1000","0.4000","3.0558","13.0900"
"600390.SH","拻鄴訧掛","2010-03-04","13.5500","12.9800","13.6000","12.8900","-0.5100","-3.7806","13.4900"
"600390.SH","拻鄴訧掛","2010-03-05","13.1600","13.1100","13.4100","12.9400","0.1300","1.0015","12.9800"
"600390.SH","拻鄴訧掛","2010-03-08","12.9300","13.0600","13.0700","12.8700","-0.0500","-0.3814","13.1100"
"600390.SH","拻鄴訧掛","2010-03-09","13.0300","13.2900","13.4000","12.9200","0.2300","1.7611","13.0600"
"600390.SH","拻鄴訧掛","2010-03-10","13.2000","13.4900","13.5600","13.0600","0.2000","1.5049","13.2900"
"600390.SH","拻鄴訧掛","2010-03-11","13.3000","13.7600","13.9400","13.2500","0.2700","2.0015","13.4900"
"600390.SH","拻鄴訧掛","2010-03-12","13.7000","13.1700","13.7500","13.1500","-0.5900","-4.2878","13.7600"
"600390.SH","拻鄴訧掛","2010-03-15","13.2600","12.9500","13.2600","12.7300","-0.2200","-1.6705","13.1700"
"600390.SH","拻鄴訧掛","2010-03-16","13.0500","13.3700","13.4600","12.9700","0.4200","3.2432","12.9500"
