"代码","简称","时间","开盘价(元)","收盘价(元)","最高价(元)","最低价(元)","涨跌(元)","涨跌幅(%)","前收盘价(元)"
"600491.SH","龙元建设","2010-01-05","17.2500","16.8600","17.3900","16.7900","-0.4600","-2.6559","17.3200"
"600491.SH","龙元建设","2010-01-07","16.8500","16.9500","17.1500","16.6800","0.3000","1.8018","16.6500"
"600491.SH","龙元建设","2010-01-12","16.9300","16.8900","17.0000","16.5100","-0.0200","-0.1183","16.9100"
"600491.SH","龙元建设","2010-01-26","15.7500","14.7700","15.9100","14.7000","-1.0300","-6.5190","15.8000"
"600491.SH","龙元建设","2010-01-28","14.1900","13.7200","14.1900","13.4900","-0.4700","-3.3122","14.1900"
"600491.SH","龙元建设","2010-02-02","13.4500","13.4700","13.7400","13.3700","0.0500","0.3726","13.4200"
"600491.SH","龙元建设","2010-02-12","13.6200","13.7500","13.8000","13.5300","0.1300","0.9545","13.6200"
"600491.SH","龙元建设","2010-01-04","17.7500","17.3200","17.7500","17.3000","-0.2300","-1.3105","17.5500"
"600491.SH","龙元建设","2010-01-25","15.7500","15.8000","15.9000","15.4000","0.0100","0.0633","15.7900"
"600491.SH","龙元建设","2010-01-06","16.8700","16.6500","17.0500","16.5900","-0.2100","-1.2456","16.8600"
"600491.SH","龙元建设","2010-01-27","14.7700","14.1900","15.0900","14.1600","-0.5800","-3.9269","14.7700"
"600491.SH","龙元建设","2010-01-08","16.9400","16.8400","17.0000","16.4500","-0.1100","-0.6490","16.9500"
"600491.SH","龙元建设","2010-01-29","13.7000","13.7100","13.9700","13.6000","-0.0100","-0.0729","13.7200"
"600491.SH","龙元建设","2010-01-11","17.3000","16.9100","17.6300","16.8200","0.0700","0.4157","16.8400"
"600491.SH","龙元建设","2010-02-01","13.7700","13.4200","13.8700","13.1500","-0.2900","-2.1152","13.7100"
"600491.SH","龙元建设","2010-01-13","16.5000","16.3900","16.7800","16.3000","-0.5000","-2.9603","16.8900"
"600491.SH","龙元建设","2010-02-03","13.3500","13.7500","13.7900","13.0000","0.2800","2.0787","13.4700"
"600491.SH","龙元建设","2010-01-14","16.4100","16.1700","16.5500","15.9000","-0.2200","-1.3423","16.3900"
"600491.SH","龙元建设","2010-02-04","13.7800","13.6500","13.8600","13.5100","-0.1000","-0.7273","13.7500"
"600491.SH","龙元建设","2010-01-15","16.1900","16.4700","16.7800","16.1100","0.3000","1.8553","16.1700"
"600491.SH","龙元建设","2010-02-05","13.4200","13.2800","13.4200","13.0300","-0.3700","-2.7106","13.6500"
"600491.SH","龙元建设","2010-01-18","16.4900","17.4400","17.6000","16.4600","0.9700","5.8895","16.4700"
"600491.SH","龙元建设","2010-02-08","13.3400","13.0200","13.3400","12.9800","-0.2600","-1.9578","13.2800"
"600491.SH","龙元建设","2010-01-19","17.4300","17.2100","17.4900","17.0000","-0.2300","-1.3188","17.4400"
"600491.SH","龙元建设","2010-02-09","13.1000","13.1700","13.2300","13.0000","0.1500","1.1521","13.0200"
"600491.SH","龙元建设","2010-01-20","17.2000","16.9300","17.7000","16.7500","-0.2800","-1.6270","17.2100"
"600491.SH","龙元建设","2010-01-22","16.4200","15.7900","16.4200","15.2600","-0.6600","-4.0122","16.4500"
"600491.SH","龙元建设","2010-02-10","13.2900","13.3700","13.4100","13.1400","0.2000","1.5186","13.1700"
"600491.SH","龙元建设","2010-01-21","16.8300","16.4500","16.9700","16.3000","-0.4800","-2.8352","16.9300"
"600491.SH","龙元建设","2010-02-11","13.4500","13.6200","13.7600","13.4100","0.2500","1.8699","13.3700"
"600491.SH","龙元建设","2010-02-22","13.7500","13.5600","13.8800","13.5500","-0.1900","-1.3818","13.7500"
"600491.SH","龙元建设","2010-02-23","13.5600","13.4300","13.6800","13.3100","-0.1300","-0.9587","13.5600"
"600491.SH","龙元建设","2010-02-24","13.4300","14.7700","14.7700","13.2500","1.3400","9.9777","13.4300"
