代码,简称,时间,开盘价(元),收盘价(元),最高价(元),最低价(元),涨跌(元),涨跌幅(%),前收盘价(元)
000725.SZ,京东方A,2010-01-04,14.2828,14.2006,14.5021,13.9813,-0.0548,-0.3846,14.2554
000725.SZ,京东方A,2010-01-05,14.2006,14.557,14.6666,14.1732,0.3564,2.5097,14.2006
000725.SZ,京东方A,2010-01-06,14.5844,14.5021,14.7763,14.4199,-0.0548,-0.3766,14.557
000725.SZ,京东方A,2010-01-07,14.5021,14.4747,14.9408,14.2006,-0.0274,-0.189,14.5021
000725.SZ,京东方A,2010-01-08,14.5844,14.9133,15.1601,14.3376,0.4386,3.0303,14.4747
000725.SZ,京东方A,2010-01-11,14.8859,14.9682,15.2971,14.7489,0.0548,0.3676,14.9133
000725.SZ,京东方A,2010-01-12,14.8585,14.8585,15.023,14.5844,-0.1097,-0.7326,14.9682
000725.SZ,京东方A,2010-01-13,14.5295,14.6392,15.1052,14.3925,-0.2193,-1.476,14.8585
000725.SZ,京东方A,2010-01-14,14.6392,15.352,15.4068,14.6392,0.7128,4.8689,14.6392
000725.SZ,京东方A,2010-01-15,15.5439,15.2149,15.5987,15.0778,-0.1371,-0.8929,15.352
000725.SZ,京东方A,2010-01-18,15.2423,15.2971,15.5713,14.8859,0.0822,0.5405,15.2149
000725.SZ,京东方A,2010-01-19,15.352,15.023,15.4068,14.9956,-0.2741,-1.7921,15.2971
000725.SZ,京东方A,2010-01-20,15.023,14.2006,15.1052,14.0361,-0.8224,-5.4745,15.023
000725.SZ,京东方A,2010-01-21,14.1732,14.2006,14.3925,14.0361,0.0,0.0,14.2006
000725.SZ,京东方A,2010-01-22,13.9813,14.0087,14.0909,13.6797,-0.1919,-1.3513,14.2006
000725.SZ,京东方A,2010-01-25,14.0361,13.8442,14.1458,13.8168,-0.1645,-1.1742,14.0087
000725.SZ,京东方A,2010-01-26,13.9539,13.3782,13.9539,13.2959,-0.466,-3.3663,13.8442
000725.SZ,京东方A,2010-01-27,13.3507,13.3233,13.5701,13.2137,-0.0548,-0.4098,13.3782
000725.SZ,京东方A,2010-01-28,13.3233,13.4056,13.5152,13.2137,0.0822,0.6173,13.3233
000725.SZ,京东方A,2010-01-29,13.3507,13.2411,13.4604,13.1314,-0.1645,-1.227,13.4056
000725.SZ,京东方A,2010-02-01,13.2685,12.5557,13.2685,12.3912,-0.6854,-5.176,13.2411
000725.SZ,京东方A,2010-02-02,12.6654,12.6106,12.8025,12.5831,0.0548,0.4367,12.5557
000725.SZ,京东方A,2010-02-03,12.638,12.7202,12.7476,12.0623,0.1097,0.8696,12.6106
000725.SZ,京东方A,2010-02-04,12.638,12.7202,12.8847,12.5009,0.0,0.0,12.7202
000725.SZ,京东方A,2010-02-05,12.4735,12.4461,12.6106,12.2542,-0.2741,-2.1552,12.7202
000725.SZ,京东方A,2010-02-08,12.4187,12.5009,12.638,12.3364,0.0548,0.4405,12.4461
000725.SZ,京东方A,2010-02-09,12.5283,13.2137,13.762,12.4187,0.7128,5.7018,12.5009
000725.SZ,京东方A,2010-02-10,13.0766,13.2411,13.3233,12.9395,0.0274,0.2075,13.2137
000725.SZ,京东方A,2010-02-11,13.2685,13.104,13.762,13.0766,-0.1371,-1.0352,13.2411
000725.SZ,京东方A,2010-02-12,13.0766,13.1314,13.2685,12.9944,0.0274,0.2092,13.104
