隞??,蝞蝘??園,撘?遠(??,?嗥?隞???,?擃遠(??,?雿遠(??,瘨刻?(??,瘨刻?撟?%),??遠(??
002078.SZ,憭芷蝥訾?,2010-01-04,38.5883,38.2914,39.1448,37.8462,-0.0557,-0.1451,38.3471
002078.SZ,憭芷蝥訾?,2010-01-05,38.5512,37.8462,38.5512,37.3824,-0.4452,-1.1628,38.2914
002078.SZ,憭芷蝥訾?,2010-01-06,37.8091,37.6236,38.9036,37.605,-0.2226,-0.5882,37.8462
002078.SZ,憭芷蝥訾?,2010-01-07,37.6236,36.5846,37.7534,36.0837,-1.0389,-2.7613,37.6236
002078.SZ,憭芷蝥訾?,2010-01-08,36.2136,36.9186,37.0113,36.1765,0.3339,0.9128,36.5846
002078.SZ,憭芷蝥訾?,2010-01-11,37.0113,36.8629,37.4195,36.362,-0.0557,-0.1507,36.9186
002078.SZ,憭芷蝥訾?,2010-01-12,37.1041,38.4213,38.4955,36.7887,1.5584,4.2275,36.8629
002078.SZ,憭芷蝥訾?,2010-01-13,37.7163,38.8109,39.5159,37.4937,0.3896,1.014,38.4213
002078.SZ,憭芷蝥訾?,2010-01-14,38.848,39.9426,40.5733,38.4955,1.1317,2.9159,38.8109
002078.SZ,憭芷蝥訾?,2010-01-15,40.0724,40.0353,40.5548,39.4417,0.0928,0.2322,39.9426
002078.SZ,憭芷蝥訾?,2010-01-18,40.091,40.8145,41.1299,39.8869,0.7792,1.9462,40.0353
002078.SZ,憭芷蝥訾?,2010-01-19,40.8145,40.2579,41.2783,39.6643,-0.5566,-1.3636,40.8145
002078.SZ,憭芷蝥訾?,2010-01-20,40.5362,38.8109,40.5362,38.6996,-1.4471,-3.5945,40.2579
002078.SZ,憭芷蝥訾?,2010-01-21,38.5883,38.848,39.2561,38.4398,0.0371,0.0956,38.8109
002078.SZ,憭芷蝥訾?,2010-01-22,38.5697,38.0317,38.5697,36.7702,-0.8163,-2.1012,38.848
002078.SZ,憭芷蝥訾?,2010-01-25,37.9389,37.9575,38.5512,37.4751,-0.0742,-0.1951,38.0317
