代码,简称,时间,开盘价(元),收盘价(元),最高价(元),最低价(元),涨跌(元),涨跌幅(%),前收盘价(元)
601138.SH,工业富联,2018-06-08,16.52,19.83,19.83,16.52,6.06,44.0087,13.77
601138.SH,工业富联,2018-06-11,21.81,21.81,21.81,21.81,1.98,9.9849,19.83
601138.SH,工业富联,2018-06-12,23.99,23.99,23.99,23.99,2.18,9.9954,21.81
601138.SH,工业富联,2018-06-13,24.55,25.72,26.36,23.56,1.73,7.2113,23.99
601138.SH,工业富联,2018-06-14,24.51,23.29,24.86,23.15,-2.43,-9.4479,25.72
601138.SH,工业富联,2018-06-15,22.6,22.58,23.13,22.02,-0.71,-3.0485,23.29
601138.SH,工业富联,2018-06-19,21.83,20.32,21.84,20.32,-2.26,-10.0089,22.58
601138.SH,工业富联,2018-06-20,19.8,19.86,20.26,19.01,-0.46,-2.2638,20.32
601138.SH,工业富联,2018-06-21,19.6,18.17,19.78,18.05,-1.69,-8.5096,19.86
601138.SH,工业富联,2018-06-22,17.7,18.72,19.18,17.53,0.55,3.027,18.17
601138.SH,工业富联,2018-06-25,18.62,18.21,18.76,18.13,-0.51,-2.7244,18.72
601138.SH,工业富联,2018-06-26,17.74,18.53,18.66,17.55,0.32,1.7573,18.21
601138.SH,工业富联,2018-06-27,18.5,18.27,18.86,18.18,-0.26,-1.4031,18.53
601138.SH,工业富联,2018-06-28,18.22,17.89,18.64,17.76,-0.38,-2.0799,18.27
601138.SH,工业富联,2018-06-29,17.95,18.44,18.61,17.6,0.55,3.0743,17.89
601138.SH,工业富联,2018-07-02,18.2,17.59,18.35,17.1,-0.85,-4.6095,18.44
601138.SH,工业富联,2018-07-03,17.54,17.9,17.97,17.1,0.31,1.7624,17.59
601138.SH,工业富联,2018-07-04,17.7,17.17,17.87,17.12,-0.73,-4.0782,17.9
601138.SH,工业富联,2018-07-05,17.0,16.96,17.5,16.71,-0.21,-1.2231,17.17
601138.SH,工业富联,2018-07-06,16.91,17.23,17.68,16.8,0.27,1.592,16.96
601138.SH,工业富联,2018-07-09,17.23,17.47,17.5,17.09,0.24,1.3929,17.23
601138.SH,工业富联,2018-07-10,17.51,17.35,17.54,17.2,-0.12,-0.6869,17.47
601138.SH,工业富联,2018-07-11,16.95,16.65,17.1,16.54,-0.7,-4.0346,17.35
601138.SH,工业富联,2018-07-12,16.65,17.96,18.28,16.65,1.31,7.8679,16.65
601138.SH,工业富联,2018-07-13,17.7,17.62,17.79,17.48,-0.34,-1.8931,17.96
601138.SH,工业富联,2018-07-16,17.62,17.84,18.19,17.56,0.22,1.2486,17.62
601138.SH,工业富联,2018-07-17,17.84,17.69,17.85,17.44,-0.15,-0.8408,17.84
601138.SH,工业富联,2018-07-18,17.69,17.21,17.76,17.18,-0.48,-2.7134,17.69
601138.SH,工业富联,2018-07-19,17.18,16.93,17.38,16.87,-0.28,-1.627,17.21
601138.SH,工业富联,2018-07-20,16.91,17.3,17.48,16.73,0.37,2.1855,16.93
601138.SH,工业富联,2018-07-23,17.11,17.25,17.3,17.04,-0.05,-0.289,17.3
601138.SH,工业富联,2018-07-24,17.23,18.06,18.1,17.2,0.81,4.6956,17.25
601138.SH,工业富联,2018-07-25,18.0,17.71,18.01,17.59,-0.35,-1.938,18.06
601138.SH,工业富联,2018-07-26,17.66,17.76,18.05,17.63,0.05,0.2823,17.71
601138.SH,工业富联,2018-07-27,17.68,17.29,17.68,17.28,-0.47,-2.6464,17.76
601138.SH,工业富联,2018-07-30,17.2,17.14,17.38,17.05,-0.15,-0.8676,17.29
601138.SH,工业富联,2018-07-31,17.19,17.17,17.27,17.05,0.03,0.175,17.14
601138.SH,工业富联,2018-08-01,17.25,16.98,17.41,16.96,-0.19,-1.1066,17.17
601138.SH,工业富联,2018-08-02,16.9,16.24,16.93,16.02,-0.74,-4.3581,16.98
601138.SH,工业富联,2018-08-03,16.27,15.81,16.34,15.8,-0.43,-2.6478,16.24
601138.SH,工业富联,2018-08-06,15.77,15.14,15.85,15.11,-0.67,-4.2378,15.81
601138.SH,工业富联,2018-08-07,15.2,15.55,15.57,15.04,0.41,2.7081,15.14
601138.SH,工业富联,2018-08-08,15.41,15.01,15.47,15.0,-0.54,-3.4727,15.55
601138.SH,工业富联,2018-08-09,14.99,15.42,15.58,14.8,0.41,2.7315,15.01
601138.SH,工业富联,2018-08-10,15.32,15.47,15.53,15.31,0.05,0.3243,15.42
601138.SH,工业富联,2018-08-13,15.19,15.72,15.83,15.08,0.25,1.616,15.47
601138.SH,工业富联,2018-08-14,15.73,15.51,15.76,15.44,-0.21,-1.3359,15.72
601138.SH,工业富联,2018-08-15,15.39,15.06,15.49,15.04,-0.45,-2.9014,15.51
601138.SH,工业富联,2018-08-16,14.85,14.89,15.15,14.71,-0.17,-1.1288,15.06
601138.SH,工业富联,2018-08-17,15.09,14.63,15.14,14.62,-0.26,-1.7461,14.89
601138.SH,工业富联,2018-08-20,14.65,14.92,14.93,14.53,0.29,1.9822,14.63
601138.SH,工业富联,2018-08-21,14.9,15.02,15.14,14.81,0.1,0.6702,14.92
601138.SH,工业富联,2018-08-22,14.99,14.74,14.99,14.7,-0.28,-1.8642,15.02
601138.SH,工业富联,2018-08-23,14.77,15.13,15.2,14.77,0.39,2.6459,14.74
601138.SH,工业富联,2018-08-24,15.04,14.99,15.12,14.92,-0.14,-0.9253,15.13
601138.SH,工业富联,2018-08-27,15.0,15.31,15.42,15.0,0.32,2.1348,14.99
601138.SH,工业富联,2018-08-28,15.31,15.32,15.48,15.22,0.01,0.0653,15.31
601138.SH,工业富联,2018-08-29,15.35,15.11,15.37,15.07,-0.21,-1.3708,15.32
601138.SH,工业富联,2018-08-30,15.13,14.8,15.16,14.78,-0.31,-2.0516,15.11
601138.SH,工业富联,2018-08-31,14.75,14.79,14.97,14.67,-0.01,-0.0676,14.8
601138.SH,工业富联,2018-09-03,14.71,14.7,14.77,14.51,-0.09,-0.6085,14.79
601138.SH,工业富联,2018-09-04,14.69,14.93,14.99,14.66,0.23,1.5646,14.7
601138.SH,工业富联,2018-09-05,14.86,14.63,14.89,14.61,-0.3,-2.0094,14.93
601138.SH,工业富联,2018-09-06,14.61,15.03,15.4,14.57,0.4,2.7341,14.63
601138.SH,工业富联,2018-09-07,15.0,14.89,15.19,14.72,-0.14,-0.9315,15.03
601138.SH,工业富联,2018-09-10,14.8,14.63,14.84,14.63,-0.26,-1.7461,14.89
601138.SH,工业富联,2018-09-11,14.63,14.69,14.88,14.58,0.06,0.4101,14.63
601138.SH,工业富联,2018-09-12,14.68,14.72,14.88,14.66,0.03,0.2042,14.69
601138.SH,工业富联,2018-09-13,14.87,14.79,14.94,14.54,0.07,0.4755,14.72
601138.SH,工业富联,2018-09-14,14.79,14.6,14.81,14.58,-0.19,-1.2846,14.79
601138.SH,工业富联,2018-09-17,14.56,14.17,14.56,14.16,-0.43,-2.9452,14.6
601138.SH,工业富联,2018-09-18,14.06,14.31,14.34,14.05,0.14,0.988,14.17
601138.SH,工业富联,2018-09-19,14.24,14.42,14.54,14.21,0.11,0.7687,14.31
601138.SH,工业富联,2018-09-20,14.37,14.27,14.42,14.26,-0.15,-1.0402,14.42
601138.SH,工业富联,2018-09-21,14.3,14.45,14.48,14.22,0.18,1.2614,14.27
601138.SH,工业富联,2018-09-25,14.35,14.43,14.53,14.29,-0.02,-0.1384,14.45
601138.SH,工业富联,2018-09-26,14.6,14.55,14.79,14.43,0.12,0.8316,14.43
601138.SH,工业富联,2018-09-27,14.49,14.2,14.52,14.19,-0.35,-2.4055,14.55
601138.SH,工业富联,2018-09-28,14.21,14.24,14.29,14.19,0.04,0.2817,14.2
601138.SH,工业富联,2018-10-08,14.0,13.72,14.0,13.71,-0.52,-3.6517,14.24
601138.SH,工业富联,2018-10-09,13.76,13.73,13.86,13.66,0.01,0.0729,13.72
601138.SH,工业富联,2018-10-10,13.79,13.71,13.81,13.66,-0.02,-0.1457,13.73
601138.SH,工业富联,2018-10-11,13.01,12.34,13.17,12.34,-1.37,-9.9927,13.71
601138.SH,工业富联,2018-10-12,12.07,11.96,12.17,11.45,-0.38,-3.0794,12.34
601138.SH,工业富联,2018-10-15,12.0,11.89,12.3,11.86,-0.07,-0.5853,11.96
601138.SH,工业富联,2018-10-16,11.9,11.57,12.02,11.5,-0.32,-2.6913,11.89
601138.SH,工业富联,2018-10-17,11.77,11.76,11.86,11.52,0.19,1.6422,11.57
601138.SH,工业富联,2018-10-18,11.63,11.38,11.64,11.34,-0.38,-3.2313,11.76
601138.SH,工业富联,2018-10-19,11.17,11.61,11.62,11.11,0.23,2.0211,11.38
601138.SH,工业富联,2018-10-22,11.7,12.65,12.76,11.62,1.04,8.9578,11.61
601138.SH,工业富联,2018-10-23,12.55,12.19,12.6,12.13,-0.46,-3.6364,12.65
601138.SH,工业富联,2018-10-24,12.18,12.19,12.36,12.13,0.0,0.0,12.19
601138.SH,工业富联,2018-10-25,11.75,12.0,12.09,11.61,-0.19,-1.5587,12.19
601138.SH,工业富联,2018-10-26,12.1,12.09,12.32,12.0,0.09,0.75,12.0
601138.SH,工业富联,2018-10-29,12.13,12.07,12.35,11.91,-0.02,-0.1654,12.09
