代码,简称,时间,开盘价(元),收盘价(元),最高价(元),最低价(元),涨跌(元),涨跌幅(%),前收盘价(元)
002236.SZ,大华股份,2010-01-04,72.42,76.79,76.9,72.02,4.41,6.0928,72.38
002236.SZ,大华股份,2010-01-05,76.0,74.63,76.0,74.08,-2.16,-2.8129,76.79
002236.SZ,大华股份,2010-01-06,74.1,74.6,75.27,73.02,-0.03,-0.0402,74.63
002236.SZ,大华股份,2010-01-07,74.4,72.16,74.75,71.95,-2.44,-3.2708,74.6
002236.SZ,大华股份,2010-01-08,71.88,72.7,72.88,71.12,0.54,0.7483,72.16
002236.SZ,大华股份,2010-01-11,72.32,74.18,74.3,70.5,1.48,2.0358,72.7
002236.SZ,大华股份,2010-01-12,73.98,76.03,78.09,73.7,1.85,2.4939,74.18
002236.SZ,大华股份,2010-01-13,74.1,74.63,76.95,74.0,-1.4,-1.8414,76.03
002236.SZ,大华股份,2010-01-14,75.7,75.49,76.12,74.3,0.86,1.1524,74.63
002236.SZ,大华股份,2010-01-15,75.49,73.7,76.49,72.9,-1.79,-2.3712,75.49
002236.SZ,大华股份,2010-01-18,73.58,73.29,73.58,72.1,-0.41,-0.5563,73.7
002236.SZ,大华股份,2010-01-19,73.5,75.49,75.75,72.72,2.2,3.0018,73.29
002236.SZ,大华股份,2010-01-20,75.5,71.99,75.61,69.02,-3.5,-4.6364,75.49
002236.SZ,大华股份,2010-01-21,72.0,72.45,73.0,70.59,0.46,0.639,71.99
002236.SZ,大华股份,2010-01-22,71.43,70.67,71.43,68.3,-1.78,-2.4569,72.45
002236.SZ,大华股份,2010-01-25,69.12,69.08,69.98,68.05,-1.59,-2.2499,70.67
002236.SZ,大华股份,2010-01-26,69.08,68.44,69.7,66.28,-0.64,-0.9265,69.08
002236.SZ,大华股份,2010-01-27,68.33,68.0,68.89,67.5,-0.44,-0.6429,68.44
002236.SZ,大华股份,2010-01-28,68.0,68.38,68.59,66.8,0.38,0.5588,68.0
002236.SZ,大华股份,2010-01-29,68.0,69.9,70.56,67.32,1.52,2.2229,68.38
002236.SZ,大华股份,2010-02-01,69.0,68.0,69.0,67.1,-1.9,-2.7182,69.9
002236.SZ,大华股份,2010-02-02,68.2,67.5,69.38,66.73,-0.5,-0.7353,68.0
002236.SZ,大华股份,2010-02-03,67.48,67.3,67.95,65.55,-0.2,-0.2963,67.5
002236.SZ,大华股份,2010-02-04,67.01,67.98,68.79,67.01,0.68,1.0104,67.3
002236.SZ,大华股份,2010-02-05,66.3,67.55,68.65,66.3,-0.43,-0.6325,67.98
002236.SZ,大华股份,2010-02-08,67.55,67.68,67.85,66.71,0.13,0.1924,67.55
002236.SZ,大华股份,2010-02-09,66.71,67.8,68.45,66.71,0.12,0.1773,67.68
002236.SZ,大华股份,2010-02-10,68.82,70.41,71.18,68.11,2.61,3.8496,67.8
002236.SZ,大华股份,2010-02-11,70.42,69.8,70.45,68.85,-0.61,-0.8664,70.41
002236.SZ,大华股份,2010-02-12,69.9,72.2,72.31,69.9,2.4,3.4384,69.8
002236.SZ,大华股份,2010-02-22,70.23,71.13,72.0,70.23,-1.07,-1.482,72.2
002236.SZ,大华股份,2010-02-23,70.9,70.04,70.9,69.11,-1.09,-1.5324,71.13
002236.SZ,大华股份,2010-02-24,69.99,73.65,75.3,69.99,3.61,5.1542,70.04
002236.SZ,大华股份,2010-02-25,74.75,77.0,77.4,74.0,3.35,4.5485,73.65
002236.SZ,大华股份,2010-02-26,77.0,77.5,78.8,76.28,0.5,0.6494,77.0
002236.SZ,大华股份,2010-03-01,77.49,77.23,78.39,76.01,-0.27,-0.3484,77.5
002236.SZ,大华股份,2010-03-02,77.7,78.31,79.0,76.5,1.08,1.3984,77.23
002236.SZ,大华股份,2010-03-03,78.85,77.6,78.85,76.75,-0.71,-0.9067,78.31
002236.SZ,大华股份,2010-03-04,77.4,75.54,77.8,75.22,-2.06,-2.6546,77.6
002236.SZ,大华股份,2010-03-05,76.29,77.7,77.79,75.23,2.16,2.8594,75.54
002236.SZ,大华股份,2010-03-08,77.89,77.1,77.89,76.6,-0.6,-0.7722,77.7
002236.SZ,大华股份,2010-03-09,77.1,78.2,79.0,76.76,1.1,1.4267,77.1
002236.SZ,大华股份,2010-03-10,77.98,78.56,79.36,77.7,0.36,0.4604,78.2
002236.SZ,大华股份,2010-03-11,78.75,77.4,78.75,75.0,-1.16,-1.4766,78.56
002236.SZ,大华股份,2010-03-12,76.67,77.39,78.38,75.81,-0.01,-0.0129,77.4
002236.SZ,大华股份,2010-03-15,77.5,77.4,77.67,76.83,0.01,0.0129,77.39
002236.SZ,大华股份,2010-03-16,77.6,76.88,79.3,75.87,-0.52,-0.6718,77.4
002236.SZ,大华股份,2010-03-17,77.01,82.98,84.57,77.01,6.1,7.9345,76.88
002236.SZ,大华股份,2010-03-18,82.08,78.76,82.1,78.65,-4.22,-5.0856,82.98
002236.SZ,大华股份,2010-03-19,78.5,78.15,79.5,77.0,-0.61,-0.7745,78.76
002236.SZ,大华股份,2010-03-22,77.5,78.61,78.78,77.01,0.46,0.5886,78.15
002236.SZ,大华股份,2010-03-23,78.68,79.78,80.2,78.5,1.17,1.4884,78.61
002236.SZ,大华股份,2010-03-24,79.9,83.13,84.4,79.82,3.35,4.199,79.78
002236.SZ,大华股份,2010-03-25,83.59,84.07,84.44,82.3,0.94,1.1308,83.13
002236.SZ,大华股份,2010-03-26,83.0,83.17,84.0,81.08,-0.9,-1.0705,84.07
002236.SZ,大华股份,2010-03-29,83.25,81.72,83.88,79.9,-1.45,-1.7434,83.17
002236.SZ,大华股份,2010-03-30,81.52,82.41,83.5,81.52,0.69,0.8443,81.72
002236.SZ,大华股份,2010-03-31,82.03,85.0,85.2,81.31,2.59,3.1428,82.41
002236.SZ,大华股份,2010-04-01,85.38,87.3,90.7,85.38,2.3,2.7059,85.0
002236.SZ,大华股份,2010-04-02,86.38,86.46,88.39,86.11,-0.84,-0.9622,87.3
002236.SZ,大华股份,2010-04-06,86.8,89.68,90.58,86.28,3.22,3.7243,86.46
002236.SZ,大华股份,2010-04-07,90.27,89.98,90.3,88.38,0.3,0.3345,89.68
002236.SZ,大华股份,2010-04-08,88.68,88.58,91.79,88.58,-1.4,-1.5559,89.98
002236.SZ,大华股份,2010-04-09,87.98,91.06,91.18,87.03,2.48,2.7997,88.58
002236.SZ,大华股份,2010-04-12,91.63,92.58,93.62,90.66,1.52,1.6692,91.06
002236.SZ,大华股份,2010-04-13,92.8,85.8,92.8,84.02,-6.78,-7.3234,92.58
002236.SZ,大华股份,2010-04-14,85.49,86.53,88.38,85.4,0.73,0.8508,85.8
002236.SZ,大华股份,2010-04-15,85.88,81.75,87.41,81.52,-4.78,-5.5241,86.53
002236.SZ,大华股份,2010-04-16,81.75,83.31,84.3,81.28,1.56,1.9083,81.75
002236.SZ,大华股份,2010-04-19,82.7,83.32,85.3,82.2,0.01,0.012,83.31
