代码,简称,时间,开盘价(元),收盘价(元),最高价(元),最低价(元),涨跌(元),涨跌幅(%),前收盘价(元)
600390.SH,五矿资本,2010-01-04,13.66,13.66,13.78,13.5,0.1,0.7375,13.56
600390.SH,五矿资本,2010-01-05,13.7,13.87,13.89,13.4,0.21,1.5373,13.66
600390.SH,五矿资本,2010-01-06,13.8,13.8,14.11,13.73,-0.07,-0.5047,13.87
600390.SH,五矿资本,2010-01-07,13.99,14.44,15.01,13.96,0.64,4.6377,13.8
600390.SH,五矿资本,2010-01-08,14.31,14.38,14.54,13.8,-0.06,-0.4155,14.44
600390.SH,五矿资本,2010-01-11,14.38,14.75,14.8,14.15,0.37,2.573,14.38
600390.SH,五矿资本,2010-01-12,14.75,15.31,15.44,14.61,0.56,3.7966,14.75
600390.SH,五矿资本,2010-01-13,14.98,14.66,15.15,14.35,-0.65,-4.2456,15.31
600390.SH,五矿资本,2010-01-14,14.7,14.92,15.0,14.51,0.26,1.7735,14.66
600390.SH,五矿资本,2010-01-15,14.92,14.88,15.14,14.76,-0.04,-0.2681,14.92
600390.SH,五矿资本,2010-01-18,14.81,15.09,15.1,14.64,0.21,1.4113,14.88
600390.SH,五矿资本,2010-01-19,15.09,14.79,15.19,14.75,-0.3,-1.9881,15.09
600390.SH,五矿资本,2010-01-20,14.76,14.3,15.0,14.19,-0.49,-3.313,14.79
600390.SH,五矿资本,2010-01-21,14.32,14.13,14.52,13.99,-0.17,-1.1888,14.3
600390.SH,五矿资本,2010-01-22,13.9,13.55,13.9,13.2,-0.58,-4.1047,14.13
600390.SH,五矿资本,2010-01-25,13.0,12.99,13.29,12.79,-0.56,-4.1328,13.55
600390.SH,五矿资本,2010-01-26,12.91,12.77,13.07,12.66,-0.22,-1.6936,12.99
600390.SH,五矿资本,2010-01-27,12.81,12.71,12.98,12.68,-0.06,-0.4699,12.77
600390.SH,五矿资本,2010-01-28,12.71,12.89,12.89,12.62,0.18,1.4162,12.71
600390.SH,五矿资本,2010-01-29,12.76,12.86,13.0,12.76,-0.03,-0.2327,12.89
600390.SH,五矿资本,2010-02-01,12.9,12.09,12.95,11.99,-0.77,-5.9876,12.86
600390.SH,五矿资本,2010-02-02,12.27,12.11,12.45,12.1,0.02,0.1654,12.09
600390.SH,五矿资本,2010-02-03,12.1,12.3,12.4,11.53,0.19,1.569,12.11
600390.SH,五矿资本,2010-02-04,12.23,12.27,12.48,12.0,-0.03,-0.2439,12.3
600390.SH,五矿资本,2010-02-05,12.0,11.8,12.02,11.63,-0.47,-3.8305,12.27
600390.SH,五矿资本,2010-02-08,11.75,11.74,11.89,11.72,-0.06,-0.5085,11.8
600390.SH,五矿资本,2010-02-09,11.74,11.74,11.74,11.74,,,11.74
600390.SH,五矿资本,2010-02-10,11.85,12.01,12.1,11.85,0.27,2.2998,11.74
600390.SH,五矿资本,2010-02-11,11.97,12.02,12.1,11.92,0.01,0.0833,12.01
600390.SH,五矿资本,2010-02-12,12.08,12.21,12.33,12.08,0.19,1.5807,12.02
600390.SH,五矿资本,2010-02-22,12.21,12.21,12.4,12.18,0.0,0.0,12.21
600390.SH,五矿资本,2010-02-23,12.14,12.47,12.77,11.9,0.26,2.1294,12.21
600390.SH,五矿资本,2010-02-24,12.42,12.59,12.6,12.22,0.12,0.9623,12.47
600390.SH,五矿资本,2010-02-25,12.57,12.75,12.76,12.41,0.16,1.2708,12.59
600390.SH,五矿资本,2010-02-26,12.66,12.69,12.79,12.6,-0.06,-0.4706,12.75
600390.SH,五矿资本,2010-03-01,12.79,12.95,13.13,12.76,0.26,2.0489,12.69
600390.SH,五矿资本,2010-03-02,12.95,13.09,13.21,12.92,0.14,1.0811,12.95
600390.SH,五矿资本,2010-03-03,13.1,13.49,13.57,13.1,0.4,3.0558,13.09
600390.SH,五矿资本,2010-03-04,13.55,12.98,13.6,12.89,-0.51,-3.7806,13.49
600390.SH,五矿资本,2010-03-05,13.16,13.11,13.41,12.94,0.13,1.0015,12.98
600390.SH,五矿资本,2010-03-08,12.93,13.06,13.07,12.87,-0.05,-0.3814,13.11
600390.SH,五矿资本,2010-03-09,13.03,13.29,13.4,12.92,0.23,1.7611,13.06
600390.SH,五矿资本,2010-03-10,13.2,13.49,13.56,13.06,0.2,1.5049,13.29
600390.SH,五矿资本,2010-03-11,13.3,13.76,13.94,13.25,0.27,2.0015,13.49
600390.SH,五矿资本,2010-03-12,13.7,13.17,13.75,13.15,-0.59,-4.2878,13.76
600390.SH,五矿资本,2010-03-15,13.26,12.95,13.26,12.73,-0.22,-1.6705,13.17
600390.SH,五矿资本,2010-03-16,13.05,13.37,13.46,12.97,0.42,3.2432,12.95
600390.SH,五矿资本,2010-03-17,13.37,13.57,13.78,13.27,0.2,1.4959,13.37
600390.SH,五矿资本,2010-03-18,13.5,13.42,13.69,13.29,-0.15,-1.1054,13.57
600390.SH,五矿资本,2010-03-19,13.42,13.38,13.48,13.1,-0.04,-0.2981,13.42
600390.SH,五矿资本,2010-03-22,13.28,13.71,13.72,13.1,0.33,2.4664,13.38
