代码,简称,时间,开盘价(元),收盘价(元),最高价(元),最低价(元),涨跌(元),涨跌幅(%),前收盘价(元)
002078.SZ,太阳纸业,2010-01-04,20.8,20.64,21.1,20.4,-0.03,-0.1451,20.67
002078.SZ,太阳纸业,2010-01-05,20.78,20.4,20.78,20.15,-0.24,-1.1628,20.64
002078.SZ,太阳纸业,2010-01-06,20.38,20.28,20.97,20.27,-0.12,-0.5882,20.4
002078.SZ,太阳纸业,2010-01-07,20.28,19.72,20.35,19.45,-0.56,-2.7613,20.28
002078.SZ,太阳纸业,2010-01-08,19.52,19.9,19.95,19.5,0.18,0.9128,19.72
002078.SZ,太阳纸业,2010-01-11,19.95,19.87,20.17,19.6,-0.03,-0.1507,19.9
002078.SZ,太阳纸业,2010-01-12,20.0,20.71,20.75,19.83,0.84,4.2275,19.87
002078.SZ,太阳纸业,2010-01-13,20.33,20.92,21.3,20.21,0.21,1.014,20.71
002078.SZ,太阳纸业,2010-01-14,20.94,21.53,21.87,20.75,0.61,2.9159,20.92
002078.SZ,太阳纸业,2010-01-15,21.6,21.58,21.86,21.26,0.05,0.2322,21.53
002078.SZ,太阳纸业,2010-01-18,21.61,22.0,22.17,21.5,0.42,1.9462,21.58
002078.SZ,太阳纸业,2010-01-19,22.0,21.7,22.25,21.38,-0.3,-1.3636,22.0
002078.SZ,太阳纸业,2010-01-20,21.85,20.92,21.85,20.86,-0.78,-3.5945,21.7
002078.SZ,太阳纸业,2010-01-21,20.8,20.94,21.16,20.72,0.02,0.0956,20.92
002078.SZ,太阳纸业,2010-01-22,20.79,20.5,20.79,19.82,-0.44,-2.1012,20.94
002078.SZ,太阳纸业,2010-01-25,20.45,20.46,20.78,20.2,-0.04,-0.1951,20.5
002078.SZ,太阳纸业,2010-01-26,20.5,19.71,20.58,19.48,-0.75,-3.6657,20.46
002078.SZ,太阳纸业,2010-01-27,19.75,19.07,19.87,18.9,-0.64,-3.2471,19.71
002078.SZ,太阳纸业,2010-01-28,19.04,19.43,19.43,18.77,0.36,1.8878,19.07
002078.SZ,太阳纸业,2010-01-29,19.2,19.58,19.85,19.07,0.15,0.772,19.43
002078.SZ,太阳纸业,2010-02-01,19.3,19.24,19.63,19.18,-0.34,-1.7365,19.58
002078.SZ,太阳纸业,2010-02-02,19.44,18.7,19.49,18.58,-0.54,-2.8066,19.24
002078.SZ,太阳纸业,2010-02-03,18.61,19.08,19.08,18.28,0.38,2.0321,18.7
002078.SZ,太阳纸业,2010-02-04,19.07,19.07,19.25,18.9,-0.01,-0.0524,19.08
002078.SZ,太阳纸业,2010-02-05,18.73,18.18,18.99,18.07,-0.89,-4.667,19.07
002078.SZ,太阳纸业,2010-02-08,18.12,18.1,18.3,17.95,-0.08,-0.44,18.18
002078.SZ,太阳纸业,2010-02-09,18.03,18.35,18.35,18.03,0.25,1.3812,18.1
002078.SZ,太阳纸业,2010-02-10,18.37,18.97,19.07,18.36,0.62,3.3787,18.35
002078.SZ,太阳纸业,2010-02-11,18.97,19.26,19.35,18.91,0.29,1.5287,18.97
002078.SZ,太阳纸业,2010-02-12,19.25,19.37,19.49,19.18,0.11,0.5711,19.26
002078.SZ,太阳纸业,2010-02-22,19.2,19.16,19.46,19.1,-0.21,-1.0842,19.37
002078.SZ,太阳纸业,2010-02-23,19.14,19.5,19.63,18.7,0.34,1.7745,19.16
002078.SZ,太阳纸业,2010-02-24,19.4,19.62,19.64,19.31,0.12,0.6154,19.5
002078.SZ,太阳纸业,2010-02-25,19.65,19.8,19.99,19.6,0.18,0.9174,19.62
002078.SZ,太阳纸业,2010-02-26,20.3,19.97,20.3,19.82,0.17,0.8586,19.8
002078.SZ,太阳纸业,2010-03-01,20.15,20.2,20.56,20.06,0.23,1.1517,19.97
002078.SZ,太阳纸业,2010-03-02,20.17,20.03,20.28,19.94,-0.17,-0.8416,20.2
002078.SZ,太阳纸业,2010-03-03,20.1,20.09,20.19,19.94,0.06,0.2995,20.03
002078.SZ,太阳纸业,2010-03-04,20.0,19.0,20.17,18.98,-1.09,-5.4256,20.09
002078.SZ,太阳纸业,2010-03-05,19.09,18.96,19.19,18.8,-0.04,-0.2105,19.0
002078.SZ,太阳纸业,2010-03-08,19.0,19.23,19.25,18.8,0.27,1.4241,18.96
002078.SZ,太阳纸业,2010-03-09,19.26,19.09,19.28,18.9,-0.14,-0.728,19.23
002078.SZ,太阳纸业,2010-03-10,19.09,19.16,19.55,19.09,0.07,0.3667,19.09
002078.SZ,太阳纸业,2010-03-11,19.2,18.8,19.25,18.66,-0.36,-1.8789,19.16
002078.SZ,太阳纸业,2010-03-12,18.8,18.81,19.02,18.54,0.01,0.0532,18.8
002078.SZ,太阳纸业,2010-03-15,18.85,18.61,18.95,18.52,-0.2,-1.0633,18.81
002078.SZ,太阳纸业,2010-03-16,18.67,18.72,18.75,18.45,0.11,0.5911,18.61
002078.SZ,太阳纸业,2010-03-17,18.86,19.34,19.39,18.82,0.62,3.312,18.72
002078.SZ,太阳纸业,2010-03-18,19.39,19.2,19.5,19.1,-0.14,-0.7239,19.34
002078.SZ,太阳纸业,2010-03-19,19.2,19.62,19.68,19.16,0.42,2.1875,19.2
002078.SZ,太阳纸业,2010-03-22,19.62,19.73,19.78,19.49,0.11,0.5606,19.62
002078.SZ,太阳纸业,2010-03-23,19.82,19.23,19.91,19.1,-0.5,-2.5342,19.73
002078.SZ,太阳纸业,2010-03-24,19.31,19.35,19.57,19.3,0.12,0.624,19.23
002078.SZ,太阳纸业,2010-03-25,19.38,18.95,19.38,18.86,-0.4,-2.0672,19.35
002078.SZ,太阳纸业,2010-03-26,18.96,19.21,19.37,18.88,0.26,1.372,18.95
002078.SZ,太阳纸业,2010-03-29,19.45,19.72,19.8,19.27,0.51,2.6549,19.21
002078.SZ,太阳纸业,2010-03-30,19.78,20.12,20.28,19.78,0.4,2.0284,19.72
002078.SZ,太阳纸业,2010-03-31,20.12,20.12,20.12,20.12,,,20.12
002078.SZ,太阳纸业,2010-04-01,20.2,20.49,20.6,20.12,0.37,1.839,20.12
002078.SZ,太阳纸业,2010-04-02,20.53,21.3,21.51,20.53,0.81,3.9531,20.49
