隞??,蝞蝘??園,撘?遠(??,?嗥?隞???,?擃遠(??,?雿遠(??,瘨刻?(??,瘨刻?撟?%),??遠(??
600256.SH,撟踵??賣?,2010-01-04,23.18,24.61,24.95,22.95,1.71,7.4673,22.9
600256.SH,撟踵??賣?,2010-01-05,24.55,25.95,26.26,24.55,1.34,5.4449,24.61
600256.SH,撟踵??賣?,2010-01-06,25.87,25.54,26.15,25.5,-0.41,-1.58,25.95
600256.SH,撟踵??賣?,2010-01-07,25.78,25.34,26.66,24.89,-0.2,-0.7831,25.54
600256.SH,撟踵??賣?,2010-01-08,25.45,26.31,26.44,25.3,0.97,3.8279,25.34
600256.SH,撟踵??賣?,2010-01-11,26.35,26.75,27.33,26.02,0.44,1.6724,26.31
600256.SH,撟踵??賣?,2010-01-12,26.45,26.67,27.08,26.45,-0.08,-0.2991,26.75
600256.SH,撟踵??賣?,2010-01-13,26.3,25.83,26.6,25.28,-0.84,-3.1496,26.67
600256.SH,撟踵??賣?,2010-01-14,25.93,26.29,26.3,25.45,0.46,1.7809,25.83
600256.SH,撟踵??賣?,2010-01-15,26.58,28.33,28.77,26.3,2.04,7.7596,26.29
600256.SH,撟踵??賣?,2010-01-18,28.34,28.74,28.88,28.0,0.41,1.4472,28.33
600256.SH,撟踵??賣?,2010-01-19,28.75,27.92,28.75,27.78,-0.82,-2.8532,28.74
600256.SH,撟踵??賣?,2010-01-20,27.93,27.36,28.16,27.05,-0.56,-2.0057,27.92
600256.SH,撟踵??賣?,2010-01-21,27.8,27.38,27.8,27.08,0.02,0.0731,27.36
600256.SH,撟踵??賣?,2010-01-22,27.3,25.75,27.48,25.58,-1.63,-5.9532,27.38
600256.SH,撟踵??賣?,2010-01-25,25.5,25.17,26.0,25.0,-0.58,-2.2524,25.75
600256.SH,撟踵??賣?,2010-01-26,25.36,25.07,25.52,24.42,-0.1,-0.3973,25.17
600256.SH,撟踵??賣?,2010-01-27,24.75,24.87,25.27,24.74,-0.2,-0.7978,25.07
600256.SH,撟踵??賣?,2010-01-28,25.25,26.07,26.28,25.02,1.2,4.8251,24.87
600256.SH,撟踵??賣?,2010-01-29,26.15,26.03,26.48,25.83,-0.04,-0.1534,26.07
600256.SH,撟踵??賣?,2010-02-01,26.09,25.79,26.3,25.36,-0.24,-0.922,26.03
600256.SH,撟踵??賣?,2010-02-02,25.89,26.31,27.13,25.89,0.52,2.0163,25.79
600256.SH,撟踵??賣?,2010-02-03,26.7,26.68,26.9,25.38,0.37,1.4063,26.31
600256.SH,撟踵??賣?,2010-02-04,26.25,26.79,27.5,26.25,0.11,0.4123,26.68
600256.SH,撟踵??賣?,2010-02-05,26.2,25.91,27.5,25.78,-0.88,-3.2848,26.79
600256.SH,撟踵??賣?,2010-02-08,26.3,26.43,26.85,26.0,0.52,2.0069,25.91
600256.SH,撟踵??賣?,2010-02-09,26.67,26.31,26.67,26.18,-0.12,-0.454,26.43
600256.SH,撟踵??賣?,2010-02-10,26.41,27.02,27.04,26.4,0.71,2.6986,26.31
600256.SH,撟踵??賣?,2010-02-11,27.28,26.75,27.28,26.63,-0.27,-0.9993,27.02
600256.SH,撟踵??賣?,2010-02-12,27.25,27.02,27.6,26.71,0.27,1.0093,26.75
600256.SH,撟踵??賣?,2010-02-22,27.25,27.55,27.87,26.93,0.53,1.9615,27.02
600256.SH,撟踵??賣?,2010-02-23,27.51,28.4,28.5,27.25,0.85,3.0853,27.55
600256.SH,撟踵??賣?,2010-02-24,28.61,28.6,28.87,28.19,0.2,0.7042,28.4
600256.SH,撟踵??賣?,2010-02-25,28.79,28.7,29.49,28.41,0.1,0.3497,28.6
600256.SH,撟踵??賣?,2010-02-26,28.59,30.55,30.95,28.1,1.85,6.446,28.7
600256.SH,撟踵??賣?,2010-03-01,30.55,30.55,30.55,30.55,,,30.55
600256.SH,撟踵??賣?,2010-03-02,30.7,30.22,30.85,29.75,-0.33,-1.0802,30.55
600256.SH,撟踵??賣?,2010-03-03,30.44,30.23,30.5,29.82,0.01,0.0331,30.22
600256.SH,撟踵??賣?,2010-03-04,30.5,29.17,30.79,29.11,-1.06,-3.5064,30.23
600256.SH,撟踵??賣?,2010-03-05,29.45,29.63,30.0,29.15,0.46,1.577,29.17
600256.SH,撟踵??賣?,2010-03-08,29.8,30.08,30.25,29.72,0.45,1.5187,29.63
600256.SH,撟踵??賣?,2010-03-09,30.12,29.88,30.19,29.51,-0.2,-0.6649,30.08
600256.SH,撟踵??賣?,2010-03-10,30.0,28.64,30.07,28.41,-1.24,-4.1499,29.88
600256.SH,撟踵??賣?,2010-03-11,28.68,28.07,28.9,27.79,-0.57,-1.9902,28.64
600256.SH,撟踵??賣?,2010-03-12,28.15,28.31,29.0,27.95,0.24,0.855,28.07
600256.SH,撟踵??賣?,2010-03-15,28.31,27.74,28.48,27.5,-0.57,-2.0134,28.31
600256.SH,撟踵??賣?,2010-03-16,27.98,28.13,28.2,27.71,0.39,1.4059,27.74
600256.SH,撟踵??賣?,2010-03-17,28.18,28.65,28.8,28.18,0.52,1.8486,28.13
600256.SH,撟踵??賣?,2010-03-18,28.66,28.58,29.05,28.35,-0.07,-0.2443,28.65
600256.SH,撟踵??賣?,2010-03-19,28.59,28.58,28.75,28.36,0.0,0.0,28.58
600256.SH,撟踵??賣?,2010-03-22,28.61,28.22,28.78,28.0,-0.36,-1.2596,28.58
600256.SH,撟踵??賣?,2010-03-23,28.22,28.6,29.0,28.2,0.38,1.3466,28.22
600256.SH,撟踵??賣?,2010-03-24,28.6,29.64,29.88,28.6,1.04,3.6364,28.6
600256.SH,撟踵??賣?,2010-03-25,29.74,29.31,30.2,29.15,-0.33,-1.1134,29.64
600256.SH,撟踵??賣?,2010-03-26,29.21,29.4,29.88,29.15,0.09,0.3071,29.31
600256.SH,撟踵??賣?,2010-03-29,29.63,30.19,30.25,29.23,0.79,2.6871,29.4
600256.SH,撟踵??賣?,2010-03-30,30.49,30.38,30.75,29.97,0.19,0.6293,30.19
600256.SH,撟踵??賣?,2010-03-31,30.49,31.92,32.16,30.49,1.54,5.0691,30.38
600256.SH,撟踵??賣?,2010-04-01,31.81,31.68,32.18,31.2,-0.24,-0.7519,31.92
600256.SH,撟踵??賣?,2010-04-02,31.78,30.68,31.98,30.53,-1.0,-3.1566,31.68
600256.SH,撟踵??賣?,2010-04-06,30.8,30.91,31.2,30.28,0.23,0.7497,30.68
600256.SH,撟踵??賣?,2010-04-07,31.29,31.09,31.29,30.52,0.18,0.5823,30.91
600256.SH,撟踵??賣?,2010-04-08,31.09,31.65,32.08,30.8,0.56,1.8012,31.09
600256.SH,撟踵??賣?,2010-04-09,31.65,31.65,31.65,31.65,,,31.65
600256.SH,撟踵??賣?,2010-04-12,32.19,31.49,32.29,31.21,-0.16,-0.5055,31.65
600256.SH,撟踵??賣?,2010-04-13,31.59,31.19,31.59,30.1,-0.3,-0.9527,31.49
600256.SH,撟踵??賣?,2010-04-14,31.19,31.8,31.99,30.9,0.61,1.9558,31.19
600256.SH,撟踵??賣?,2010-04-15,31.9,32.0,33.2,31.8,0.2,0.6289,31.8
600256.SH,撟踵??賣?,2010-04-16,32.08,31.92,32.15,31.65,-0.08,-0.25,32.0
600256.SH,撟踵??賣?,2010-04-19,32.3,31.64,32.93,31.6,-0.28,-0.8772,31.92
600256.SH,撟踵??賣?,2010-04-20,31.5,33.13,33.15,31.5,1.49,4.7092,31.64
600256.SH,撟踵??賣?,2010-04-21,33.5,34.76,35.35,32.9,1.63,4.92,33.13
600256.SH,撟踵??賣?,2010-04-22,34.99,34.46,35.33,34.31,-0.3,-0.8631,34.76
600256.SH,撟踵??賣?,2010-04-23,34.57,36.44,37.0,34.49,1.98,5.7458,34.46
600256.SH,撟踵??賣?,2010-04-26,36.44,36.44,36.44,36.44,,,36.44
600256.SH,撟踵??賣?,2010-04-27,28.42,29.24,30.1,27.53,1.24,4.4286,28.0
600256.SH,撟踵??賣?,2010-04-28,29.0,29.44,30.07,28.4,0.2,0.684,29.24
600256.SH,撟踵??賣?,2010-04-29,29.6,26.85,29.9,26.66,-2.59,-8.7976,29.44
600256.SH,撟踵??賣?,2010-04-30,26.7,28.27,28.55,25.0,1.42,5.2886,26.85
600256.SH,撟踵??賣?,2010-05-04,27.8,28.51,29.05,27.4,0.24,0.849,28.27
600256.SH,撟踵??賣?,2010-05-05,28.49,28.91,28.95,28.01,0.4,1.403,28.51
600256.SH,撟踵??賣?,2010-05-06,29.0,29.15,30.3,28.75,0.24,0.8302,28.91
600256.SH,撟踵??賣?,2010-05-07,28.5,29.33,29.95,28.08,0.18,0.6175,29.15
600256.SH,撟踵??賣?,2010-05-10,29.9,27.43,29.91,26.8,-1.9,-6.478,29.33
600256.SH,撟踵??賣?,2010-05-11,28.1,25.52,28.17,25.0,-1.91,-6.9632,27.43
600256.SH,撟踵??賣?,2010-05-12,25.4,23.71,25.8,23.19,-1.81,-7.0925,25.52
600256.SH,撟踵??賣?,2010-05-13,23.88,25.1,25.35,23.0,1.39,5.8625,23.71
600256.SH,撟踵??賣?,2010-05-14,25.0,26.5,26.66,24.4,1.4,5.5777,25.1
600256.SH,撟踵??賣?,2010-05-17,26.38,25.37,26.58,25.3,-1.13,-4.2641,26.5
600256.SH,撟踵??賣?,2010-05-18,25.53,26.38,26.4,25.02,1.01,3.9811,25.37
600256.SH,撟踵??賣?,2010-05-19,26.44,26.67,27.3,26.22,0.29,1.0993,26.38
600256.SH,撟踵??賣?,2010-05-20,26.5,25.83,27.48,25.7,-0.84,-3.1496,26.67
600256.SH,撟踵??賣?,2010-05-21,24.55,27.24,27.38,24.35,1.41,5.4588,25.83
600256.SH,撟踵??賣?,2010-05-24,27.6,29.66,29.96,27.6,2.42,8.884,27.24
