代码,简称,时间,开盘价(元),收盘价(元),最高价(元),最低价(元)
ICM.CFE,中证500股指期货主力连续,2015-04-16,7681.0,7707.8,7790.0,7480.2
ICM.CFE,中证500股指期货主力连续,2015-04-17,7722.0,7758.2,7918.8,7631.2
ICM.CFE,中证500股指期货主力连续,2015-04-20,7760.0,7622.2,7857.0,7582.0
ICM.CFE,中证500股指期货主力连续,2015-04-21,7650.2,8140.4,8147.0,7640.2
ICM.CFE,中证500股指期货主力连续,2015-04-22,8158.0,8189.8,8237.8,8104.4
ICM.CFE,中证500股指期货主力连续,2015-04-23,8193.0,8265.6,8378.8,8160.4
ICM.CFE,中证500股指期货主力连续,2015-04-24,8247.8,8327.2,8349.8,8123.8
ICM.CFE,中证500股指期货主力连续,2015-04-27,8368.0,8347.2,8548.0,8292.0
ICM.CFE,中证500股指期货主力连续,2015-04-28,8308.0,8147.0,8419.0,8011.6
ICM.CFE,中证500股指期货主力连续,2015-04-29,8138.0,8302.2,8309.0,8079.0
ICM.CFE,中证500股指期货主力连续,2015-04-30,8320.0,8338.8,8408.0,8291.2
ICM.CFE,中证500股指期货主力连续,2015-05-04,8370.2,8347.2,8527.4,8202.4
ICM.CFE,中证500股指期货主力连续,2015-05-05,8334.8,8145.0,8345.0,8090.0
ICM.CFE,中证500股指期货主力连续,2015-05-06,8168.0,8040.8,8280.6,7970.0
ICM.CFE,中证500股指期货主力连续,2015-05-07,8020.0,7911.4,8068.0,7901.0
ICM.CFE,中证500股指期货主力连续,2015-05-08,7933.4,8171.2,8171.4,7921.0
ICM.CFE,中证500股指期货主力连续,2015-05-11,8170.0,8489.8,8508.0,8144.0
ICM.CFE,中证500股指期货主力连续,2015-05-12,8499.6,8647.8,8648.0,8415.4
ICM.CFE,中证500股指期货主力连续,2015-05-13,8595.0,8695.8,8779.0,8492.0
ICM.CFE,中证500股指期货主力连续,2015-05-14,8689.0,8760.4,8813.6,8645.2
ICM.CFE,中证500股指期货主力连续,2015-05-15,8610.0,8579.8,8718.0,8482.0
ICM.CFE,中证500股指期货主力连续,2015-05-18,8640.6,8798.4,8822.2,8580.0
ICM.CFE,中证500股指期货主力连续,2015-05-19,8805.6,9120.8,9154.4,8736.2
ICM.CFE,中证500股指期货主力连续,2015-05-20,9121.8,9286.8,9463.6,9111.2
ICM.CFE,中证500股指期货主力连续,2015-05-21,9311.4,9734.6,9755.0,9301.0
ICM.CFE,中证500股指期货主力连续,2015-05-22,9783.0,9741.2,9867.4,9525.0
ICM.CFE,中证500股指期货主力连续,2015-05-25,9610.0,9966.6,10020.8,9455.4
ICM.CFE,中证500股指期货主力连续,2015-05-26,9988.0,10532.2,10535.0,9986.2
ICM.CFE,中证500股指期货主力连续,2015-05-27,10598.4,10552.0,10718.0,10366.0
ICM.CFE,中证500股指期货主力连续,2015-05-28,10580.0,9977.2,10758.8,9818.0
ICM.CFE,中证500股指期货主力连续,2015-05-29,10126.8,10121.0,10370.0,9901.0
ICM.CFE,中证500股指期货主力连续,2015-06-01,10170.2,11025.6,11089.8,10168.0
ICM.CFE,中证500股指期货主力连续,2015-06-02,11058.0,11250.4,11385.0,10830.0
ICM.CFE,中证500股指期货主力连续,2015-06-03,11281.2,11103.2,11436.0,10809.0
ICM.CFE,中证500股指期货主力连续,2015-06-04,11127.0,10869.2,11255.4,10030.0
ICM.CFE,中证500股指期货主力连续,2015-06-05,10900.0,10949.0,11258.0,10540.0
ICM.CFE,中证500股指期货主力连续,2015-06-08,10840.0,10602.6,10939.2,10384.2
ICM.CFE,中证500股指期货主力连续,2015-06-09,10599.0,10700.4,10950.0,10453.0
ICM.CFE,中证500股指期货主力连续,2015-06-10,10608.0,10987.8,11326.0,10600.0
ICM.CFE,中证500股指期货主力连续,2015-06-11,11094.8,11258.8,11290.0,10920.2
ICM.CFE,中证500股指期货主力连续,2015-06-12,11293.0,11427.8,11585.0,11221.8
ICM.CFE,中证500股指期货主力连续,2015-06-15,11461.4,11228.6,11560.0,11023.0
ICM.CFE,中证500股指期货主力连续,2015-06-16,11238.0,10839.0,11238.0,10656.2
ICM.CFE,中证500股指期货主力连续,2015-06-17,10837.6,11033.4,11117.6,10504.4
ICM.CFE,中证500股指期货主力连续,2015-06-18,11055.0,10672.6,11148.0,10662.4
ICM.CFE,中证500股指期货主力连续,2015-06-19,10535.0,9990.0,10609.6,9950.0
ICM.CFE,中证500股指期货主力连续,2015-06-23,9977.0,9862.6,10100.0,9375.2
ICM.CFE,中证500股指期货主力连续,2015-06-24,9888.0,10058.0,10214.4,9710.8
ICM.CFE,中证500股指期货主力连续,2015-06-25,10101.0,9381.6,10140.0,9335.0
ICM.CFE,中证500股指期货主力连续,2015-06-26,9380.0,8629.0,9390.0,8629.0
ICM.CFE,中证500股指期货主力连续,2015-06-29,8788.0,7768.4,8800.0,7768.4
ICM.CFE,中证500股指期货主力连续,2015-06-30,7768.0,8346.0,8629.0,7557.0
ICM.CFE,中证500股指期货主力连续,2015-07-01,8396.0,7509.4,8800.0,7509.4
ICM.CFE,中证500股指期货主力连续,2015-07-02,7910.0,7667.8,8277.0,7323.8
ICM.CFE,中证500股指期货主力连续,2015-07-03,7718.0,7404.8,7936.4,7072.4
ICM.CFE,中证500股指期货主力连续,2015-07-06,8167.2,7440.0,8167.2,6701.6
ICM.CFE,中证500股指期货主力连续,2015-07-07,7303.6,6516.2,7438.0,6516.2
ICM.CFE,中证500股指期货主力连续,2015-07-08,6202.0,5956.6,7280.2,5956.6
ICM.CFE,中证500股指期货主力连续,2015-07-09,5956.6,6552.2,6552.2,5900.0
ICM.CFE,中证500股指期货主力连续,2015-07-10,6894.0,7207.4,7207.4,6888.0
ICM.CFE,中证500股指期货主力连续,2015-07-13,7500.0,7569.6,7928.0,7307.4
ICM.CFE,中证500股指期货主力连续,2015-07-14,7749.0,7645.0,7970.0,7532.0
ICM.CFE,中证500股指期货主力连续,2015-07-15,7613.6,7136.0,7655.8,7002.0
ICM.CFE,中证500股指期货主力连续,2015-07-16,7120.0,7531.8,7765.0,6989.0
ICM.CFE,中证500股指期货主力连续,2015-07-17,7224.8,7857.6,7857.6,7224.8
ICM.CFE,中证500股指期货主力连续,2015-07-20,7920.0,7589.0,8087.8,7413.2
ICM.CFE,中证500股指期货主力连续,2015-07-21,7587.8,7715.0,7935.2,7402.2
ICM.CFE,中证500股指期货主力连续,2015-07-22,7715.0,7773.0,7918.0,7572.2
ICM.CFE,中证500股指期货主力连续,2015-07-23,7802.2,8386.0,8498.6,7702.2
ICM.CFE,中证500股指期货主力连续,2015-07-24,8414.2,7980.0,8538.0,7912.4
ICM.CFE,中证500股指期货主力连续,2015-07-27,7978.8,7341.4,8180.0,7341.4
ICM.CFE,中证500股指期货主力连续,2015-07-28,7198.0,7221.0,7528.8,7034.0
ICM.CFE,中证500股指期货主力连续,2015-07-29,7300.6,7702.8,7715.8,6955.2
ICM.CFE,中证500股指期货主力连续,2015-07-30,7700.0,7232.0,7731.0,7146.0
ICM.CFE,中证500股指期货主力连续,2015-07-31,7275.0,7399.0,7642.2,7210.0
ICM.CFE,中证500股指期货主力连续,2015-08-03,7335.0,7065.2,7351.0,6990.0
ICM.CFE,中证500股指期货主力连续,2015-08-04,7088.8,7657.6,7708.6,7069.2
ICM.CFE,中证500股指期货主力连续,2015-08-05,7677.0,7486.4,7737.2,7460.0
ICM.CFE,中证500股指期货主力连续,2015-08-06,7415.0,7545.4,7727.8,7361.0
ICM.CFE,中证500股指期货主力连续,2015-08-07,7600.0,7851.2,7966.0,7583.8
ICM.CFE,中证500股指期货主力连续,2015-08-10,7855.0,8330.0,8440.0,7855.0
ICM.CFE,中证500股指期货主力连续,2015-08-11,8356.8,8200.6,8396.2,8185.2
ICM.CFE,中证500股指期货主力连续,2015-08-12,8202.2,8082.2,8330.0,8051.0
ICM.CFE,中证500股指期货主力连续,2015-08-13,8100.0,8345.8,8387.0,8052.6
ICM.CFE,中证500股指期货主力连续,2015-08-14,8388.0,8397.0,8527.8,8308.0
ICM.CFE,中证500股指期货主力连续,2015-08-17,8406.0,8659.0,8690.0,8200.0
ICM.CFE,中证500股指期货主力连续,2015-08-18,8689.0,7802.0,8761.6,7770.2
ICM.CFE,中证500股指期货主力连续,2015-08-19,7793.8,8151.2,8198.8,7603.2
ICM.CFE,中证500股指期货主力连续,2015-08-20,8122.0,8003.0,8298.4,7993.8
ICM.CFE,中证500股指期货主力连续,2015-08-21,7500.2,7207.4,7619.0,7060.0
ICM.CFE,中证500股指期货主力连续,2015-08-24,6953.0,6523.6,7044.6,6523.6
ICM.CFE,中证500股指期货主力连续,2015-08-25,6249.0,5871.4,6380.0,5871.4
ICM.CFE,中证500股指期货主力连续,2015-08-26,5869.0,5400.2,6150.0,5301.2
ICM.CFE,中证500股指期货主力连续,2015-08-27,5700.0,5928.2,6079.4,5510.0
ICM.CFE,中证500股指期货主力连续,2015-08-28,6101.2,6402.6,6402.6,5884.0
ICM.CFE,中证500股指期货主力连续,2015-08-31,6387.0,5961.4,6388.0,5852.0
ICM.CFE,中证500股指期货主力连续,2015-09-01,5960.0,5373.0,6195.6,5363.2
ICM.CFE,中证500股指期货主力连续,2015-09-02,5277.4,5377.0,5975.0,5101.8
ICM.CFE,中证500股指期货主力连续,2015-09-07,5650.0,5795.0,5921.8,5550.0
ICM.CFE,中证500股指期货主力连续,2015-09-08,5806.2,6383.0,6383.0,5752.6
ICM.CFE,中证500股指期货主力连续,2015-09-09,6428.0,6369.0,6578.0,6300.0
ICM.CFE,中证500股指期货主力连续,2015-09-10,6318.0,6319.0,6463.8,6234.2
ICM.CFE,中证500股指期货主力连续,2015-09-11,6330.8,6420.0,6489.0,6296.2
ICM.CFE,中证500股指期货主力连续,2015-09-14,6498.0,5758.2,6500.0,5758.2
ICM.CFE,中证500股指期货主力连续,2015-09-15,5749.6,5663.6,5898.6,5590.2
ICM.CFE,中证500股指期货主力连续,2015-09-16,5710.4,6050.8,6200.0,5620.0
ICM.CFE,中证500股指期货主力连续,2015-09-17,6100.0,5955.0,6218.2,5855.0
ICM.CFE,中证500股指期货主力连续,2015-09-18,5768.8,5830.0,5898.6,5658.0
ICM.CFE,中证500股指期货主力连续,2015-09-21,5750.0,6170.2,6184.2,5715.0
ICM.CFE,中证500股指期货主力连续,2015-09-22,6168.8,6077.8,6190.0,6005.0
ICM.CFE,中证500股指期货主力连续,2015-09-23,6080.8,5980.4,6093.2,5903.0
ICM.CFE,中证500股指期货主力连续,2015-09-24,6000.0,6100.0,6146.8,5978.0
ICM.CFE,中证500股指期货主力连续,2015-09-25,6098.8,5787.4,6115.0,5713.0
ICM.CFE,中证500股指期货主力连续,2015-09-28,5848.0,5994.4,6036.6,5770.0
ICM.CFE,中证500股指期货主力连续,2015-09-29,5950.0,5914.0,5950.0,5788.2
ICM.CFE,中证500股指期货主力连续,2015-09-30,5955.0,5917.8,5993.0,5852.0
ICM.CFE,中证500股指期货主力连续,2015-10-08,6220.0,6195.2,6350.0,6191.8
ICM.CFE,中证500股指期货主力连续,2015-10-09,6230.0,6406.8,6444.6,6208.8
ICM.CFE,中证500股指期货主力连续,2015-10-12,6458.2,6642.6,6790.0,6458.2
ICM.CFE,中证500股指期货主力连续,2015-10-13,6613.0,6688.6,6737.6,6586.4
ICM.CFE,中证500股指期货主力连续,2015-10-14,6645.0,6645.2,6743.4,6625.6
ICM.CFE,中证500股指期货主力连续,2015-10-15,6655.8,6954.8,6957.0,6655.2
ICM.CFE,中证500股指期货主力连续,2015-10-16,6997.8,6979.8,7099.2,6902.4
ICM.CFE,中证500股指期货主力连续,2015-10-19,6797.8,6685.0,6818.0,6530.0
ICM.CFE,中证500股指期货主力连续,2015-10-20,6685.0,6850.0,6850.0,6645.6
ICM.CFE,中证500股指期货主力连续,2015-10-21,6814.0,6478.8,6844.0,6451.0
ICM.CFE,中证500股指期货主力连续,2015-10-22,6520.2,6666.2,6735.0,6483.0
ICM.CFE,中证500股指期货主力连续,2015-10-23,6706.2,6908.0,6920.0,6671.0
ICM.CFE,中证500股指期货主力连续,2015-10-26,6944.0,6865.0,6949.8,6750.0
ICM.CFE,中证500股指期货主力连续,2015-10-27,6824.0,6903.4,6990.0,6641.2
ICM.CFE,中证500股指期货主力连续,2015-10-28,6910.0,6683.4,6927.0,6666.8
ICM.CFE,中证500股指期货主力连续,2015-10-29,6712.2,6782.0,6886.6,6655.0
ICM.CFE,中证500股指期货主力连续,2015-10-30,6801.0,6783.8,6887.0,6651.0
ICM.CFE,中证500股指期货主力连续,2015-11-02,6641.0,6668.8,6868.0,6582.6
ICM.CFE,中证500股指期货主力连续,2015-11-03,6696.8,6656.2,6757.0,6614.8
ICM.CFE,中证500股指期货主力连续,2015-11-04,6700.0,7090.6,7117.6,6678.8
ICM.CFE,中证500股指期货主力连续,2015-11-05,7066.8,7066.4,7119.6,6983.2
ICM.CFE,中证500股指期货主力连续,2015-11-06,7068.8,7293.8,7338.8,7068.0
ICM.CFE,中证500股指期货主力连续,2015-11-09,7270.0,7353.8,7449.8,7205.2
ICM.CFE,中证500股指期货主力连续,2015-11-10,7330.0,7394.0,7439.0,7320.2
ICM.CFE,中证500股指期货主力连续,2015-11-11,7388.0,7545.0,7548.8,7378.0
ICM.CFE,中证500股指期货主力连续,2015-11-12,7540.0,7519.0,7570.0,7391.0
ICM.CFE,中证500股指期货主力连续,2015-11-13,7476.6,7468.0,7523.4,7330.0
ICM.CFE,中证500股指期货主力连续,2015-11-16,7345.0,7638.0,7670.2,7345.0
ICM.CFE,中证500股指期货主力连续,2015-11-17,7660.0,7547.6,7788.2,7500.8
ICM.CFE,中证500股指期货主力连续,2015-11-18,7557.8,7499.0,7655.6,7466.0
ICM.CFE,中证500股指期货主力连续,2015-11-19,7516.2,7697.0,7710.0,7502.2
ICM.CFE,中证500股指期货主力连续,2015-11-20,7439.0,7442.6,7540.4,7388.8
ICM.CFE,中证500股指期货主力连续,2015-11-23,7400.2,7356.6,7575.2,7338.8
ICM.CFE,中证500股指期货主力连续,2015-11-24,7350.6,7471.0,7488.6,7312.6
ICM.CFE,中证500股指期货主力连续,2015-11-25,7478.8,7631.0,7636.8,7452.6
ICM.CFE,中证500股指期货主力连续,2015-11-26,7646.6,7531.8,7671.0,7530.0
ICM.CFE,中证500股指期货主力连续,2015-11-27,7540.2,7092.6,7559.4,6931.0
ICM.CFE,中证500股指期货主力连续,2015-11-30,7092.6,7118.2,7199.0,6922.0
ICM.CFE,中证500股指期货主力连续,2015-12-01,7125.6,7137.6,7267.0,7043.0
ICM.CFE,中证500股指期货主力连续,2015-12-02,7143.2,7280.2,7293.2,6951.0
