,10107,11308,11850,12490,14541,14593
19710104,,83.125,72.625,313,53.5,
19710105,,82,72.5,316.25,53.625,
19710106,,83.375,72.125,318,53.875,
19710107,,85.875,72,316.25,54.125,
19710108,,85.875,71,314.5,54.25,
19710111,,85.75,70,312.5,54,
19710112,,85.5,69.5,315.75,53.25,
19710113,,86,67.875,315.625,50.875,
19710114,,86,68.125,314.5,51,
19710115,,85.75,67.5,310,51,
19710118,,84.75,68,311.75,51.75,
19710119,,84.75,68.375,312.75,52.25,
19710120,,85.375,68.875,314.75,52.375,
19710121,,85.5,69.375,315.5,52.5,
19710122,,85.125,70.25,316.5,53,
19710125,,85.75,70,321.75,52.25,
19710126,,85.5,69.875,326,52,
19710127,,85.75,69.5,322.5,51.875,
19710128,,87,69.625,317.5,52.125,
19710129,,87,70.625,325.5,53.25,
19710201,,86.5,72,327.25,54,
19710202,,86.375,71.125,327.75,52.875,
19710203,,86.375,70.75,328.625,53.375,
19710204,,86,70.25,330.5,52.625,
19710205,,86,70.75,336.5,53.25,
19710208,,86,71,340.75,53.375,
19710209,,86.625,71.75,338.5,52.625,
19710210,,87.25,72.5,337.25,52.875,
19710211,,88.25,71.875,338.75,52.875,
19710212,,88.25,72.25,339.5,54,
19710216,,88.5,74.375,341.625,54.25,
19710217,,87,74.75,336.5,54.625,
19710218,,86.25,74.875,329.25,54.75,
19710219,,85.75,74.5,328.25,54.75,
19710222,,84.5,74.25,330.5,54.25,
19710223,,85.25,74.5,335.25,53.75,
19710224,,85.875,74.5,338.25,54.25,
19710225,,86.375,75.875,334,55.75,
19710226,,87.125,75.125,336.5,54.875,
19710301,,87.75,74.625,339,55,
19710302,,87.75,75,338,55.625,
19710303,,87.875,75.5,337.25,56,
19710304,,89.625,77.75,340.75,56.25,
19710305,,89.5,78.125,345.5,57.875,
19710308,,90,78,348.5,58,
19710309,,91.5,76.875,349,58,
19710310,,92.5,75.75,348.75,57.75,
19710311,,91.5,76.25,347.75,58,
19710312,,91.75,76.375,354,58,
19710315,,91.25,77.375,363.5,58.875,
19710316,,92.75,78,362.5,59.375,
19710317,,93.25,77.75,363.5,58.5,
19710318,,94.25,77.25,361,58.25,
19710319,,94.375,76.875,360.625,57.5,
19710322,,93.875,77,358.5,57.25,
19710323,,92.375,77.625,355.75,58,
19710324,,93,77.375,355,57.25,
19710325,,92.125,76.875,356,56.75,
19710326,,93.5,77.625,358,56.875,
19710329,,94.75,78,356.5,56.25,
19710330,,94.5,79,357,56.25,
19710331,,94.25,79.75,357.5,56.5,
